Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),closed1,closed2,open1,open2,ctr,Distance_px,Distance_in
1,1,SEFL10K6_EPM1_1_2023-05-23 12-27-37.mkv,98,TRUE,0.5,40,1050,"{'xs': [[145.3760838150289, 178.46278901734104, 182.20845375722544, 149.1217485549133], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.3703034682081], [4.289378612716765, 149.1217485549133, 147.87319364161849, 3.6651011560693654], [182.20845375722544, 320.798049132948, 320.798049132948, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.1217485549133, 182.20845375722544]], 'ys': [[0.6553899082569026, 1.2517201834862604, 150.3342889908257, 151.5269495412844], [177.1691513761468, 177.76548165137618, 323.8663990825688, 323.27006880733944], [151.5269495412844, 151.5269495412844, 177.1691513761468, 178.95814220183487], [150.3342889908257, 146.75630733944956, 176.57282110091745, 177.76548165137618], [177.76548165137618, 177.1691513761468, 151.5269495412844, 150.3342889908257]]}",closed2,FALSE,0,"(0, 1800)",0.128262077,0.475291505,0.129927818,0.097723487,0.188784009,1418.85429,130.6819469
1,1,SEFL10K6_EPM1_1_2023-05-23 12-27-37.mkv,98,TRUE,0.5,40,1050,"{'xs': [[145.3760838150289, 178.46278901734104, 182.20845375722544, 149.1217485549133], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.3703034682081], [4.289378612716765, 149.1217485549133, 147.87319364161849, 3.6651011560693654], [182.20845375722544, 320.798049132948, 320.798049132948, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.1217485549133, 182.20845375722544]], 'ys': [[0.6553899082569026, 1.2517201834862604, 150.3342889908257, 151.5269495412844], [177.1691513761468, 177.76548165137618, 323.8663990825688, 323.27006880733944], [151.5269495412844, 151.5269495412844, 177.1691513761468, 178.95814220183487], [150.3342889908257, 146.75630733944956, 176.57282110091745, 177.76548165137618], [177.76548165137618, 177.1691513761468, 151.5269495412844, 150.3342889908257]]}",closed2,FALSE,1,"(1800, 3600)",0.233759023,0.560799556,0.016657413,0,0.20766241,1233.574308,113.6169467
1,1,SEFL10K6_EPM1_1_2023-05-23 12-27-37.mkv,98,TRUE,0.5,40,1050,"{'xs': [[145.3760838150289, 178.46278901734104, 182.20845375722544, 149.1217485549133], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.3703034682081], [4.289378612716765, 149.1217485549133, 147.87319364161849, 3.6651011560693654], [182.20845375722544, 320.798049132948, 320.798049132948, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.1217485549133, 182.20845375722544]], 'ys': [[0.6553899082569026, 1.2517201834862604, 150.3342889908257, 151.5269495412844], [177.1691513761468, 177.76548165137618, 323.8663990825688, 323.27006880733944], [151.5269495412844, 151.5269495412844, 177.1691513761468, 178.95814220183487], [150.3342889908257, 146.75630733944956, 176.57282110091745, 177.76548165137618], [177.76548165137618, 177.1691513761468, 151.5269495412844, 150.3342889908257]]}",closed2,FALSE,2,"(3600, 5400)",0,0.526929484,0.118267629,0.230982787,0.138256524,1243.094007,114.4937476
1,1,SEFL10K6_EPM1_1_2023-05-23 12-27-37.mkv,98,TRUE,0.5,40,1050,"{'xs': [[145.3760838150289, 178.46278901734104, 182.20845375722544, 149.1217485549133], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.3703034682081], [4.289378612716765, 149.1217485549133, 147.87319364161849, 3.6651011560693654], [182.20845375722544, 320.798049132948, 320.798049132948, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.1217485549133, 182.20845375722544]], 'ys': [[0.6553899082569026, 1.2517201834862604, 150.3342889908257, 151.5269495412844], [177.1691513761468, 177.76548165137618, 323.8663990825688, 323.27006880733944], [151.5269495412844, 151.5269495412844, 177.1691513761468, 178.95814220183487], [150.3342889908257, 146.75630733944956, 176.57282110091745, 177.76548165137618], [177.76548165137618, 177.1691513761468, 151.5269495412844, 150.3342889908257]]}",closed2,FALSE,3,"(5400, 7200)",0.245419212,0.389228207,0.082176569,0,0.287062743,1278.651754,117.7687531
1,1,SEFL10K6_EPM1_1_2023-05-23 12-27-37.mkv,98,TRUE,0.5,40,1050,"{'xs': [[145.3760838150289, 178.46278901734104, 182.20845375722544, 149.1217485549133], [147.87319364161849, 180.33562138728323, 182.83273121387282, 150.3703034682081], [4.289378612716765, 149.1217485549133, 147.87319364161849, 3.6651011560693654], [182.20845375722544, 320.798049132948, 320.798049132948, 180.33562138728323], [180.33562138728323, 147.87319364161849, 149.1217485549133, 182.20845375722544]], 'ys': [[0.6553899082569026, 1.2517201834862604, 150.3342889908257, 151.5269495412844], [177.1691513761468, 177.76548165137618, 323.8663990825688, 323.27006880733944], [151.5269495412844, 151.5269495412844, 177.1691513761468, 178.95814220183487], [150.3342889908257, 146.75630733944956, 176.57282110091745, 177.76548165137618], [177.76548165137618, 177.1691513761468, 151.5269495412844, 150.3342889908257]]}",closed2,FALSE,4,"(7200, 9000)",0.164908384,0.739589117,0,0,0.096612993,729.9002953,67.22662947
1,2,SEFL10K6_EPM2_1_2023-05-25 13-39-56.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.10260922330096, 181.86571601941748, 181.86571601941748, 149.35309466019416], [146.22688106796116, 180.61523058252428, 179.98998786407768, 147.47736650485436], [2.421055825242719, 149.35309466019416, 146.22688106796116, 1.795813106796117], [181.86571601941748, 318.7938713592233, 319.4191140776699, 180.61523058252428], [180.61523058252428, 146.22688106796116, 149.35309466019416, 181.86571601941748]], 'ys': [[1.8480504587156181, 2.444380733944976, 150.3342889908257, 149.73795871559633], [177.76548165137618, 177.76548165137618, 322.6737385321101, 323.27006880733944], [148.54529816513764, 149.73795871559633, 177.76548165137618, 178.36181192660553], [150.3342889908257, 148.54529816513764, 178.36181192660553, 177.76548165137618], [177.76548165137618, 177.76548165137618, 149.73795871559633, 150.3342889908257]]}",open2,FALSE,0,"(0, 1800)",0.184342032,0.740699611,0,0.003331483,0.086063298,1155.786439,108.6354557
1,2,SEFL10K6_EPM2_1_2023-05-25 13-39-56.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.10260922330096, 181.86571601941748, 181.86571601941748, 149.35309466019416], [146.22688106796116, 180.61523058252428, 179.98998786407768, 147.47736650485436], [2.421055825242719, 149.35309466019416, 146.22688106796116, 1.795813106796117], [181.86571601941748, 318.7938713592233, 319.4191140776699, 180.61523058252428], [180.61523058252428, 146.22688106796116, 149.35309466019416, 181.86571601941748]], 'ys': [[1.8480504587156181, 2.444380733944976, 150.3342889908257, 149.73795871559633], [177.76548165137618, 177.76548165137618, 322.6737385321101, 323.27006880733944], [148.54529816513764, 149.73795871559633, 177.76548165137618, 178.36181192660553], [150.3342889908257, 148.54529816513764, 178.36181192660553, 177.76548165137618], [177.76548165137618, 177.76548165137618, 149.73795871559633, 150.3342889908257]]}",open2,FALSE,1,"(1800, 3600)",0.948362021,0.004441977,0,0,0.049972238,452.0863602,42.49280496
1,2,SEFL10K6_EPM2_1_2023-05-25 13-39-56.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.10260922330096, 181.86571601941748, 181.86571601941748, 149.35309466019416], [146.22688106796116, 180.61523058252428, 179.98998786407768, 147.47736650485436], [2.421055825242719, 149.35309466019416, 146.22688106796116, 1.795813106796117], [181.86571601941748, 318.7938713592233, 319.4191140776699, 180.61523058252428], [180.61523058252428, 146.22688106796116, 149.35309466019416, 181.86571601941748]], 'ys': [[1.8480504587156181, 2.444380733944976, 150.3342889908257, 149.73795871559633], [177.76548165137618, 177.76548165137618, 322.6737385321101, 323.27006880733944], [148.54529816513764, 149.73795871559633, 177.76548165137618, 178.36181192660553], [150.3342889908257, 148.54529816513764, 178.36181192660553, 177.76548165137618], [177.76548165137618, 177.76548165137618, 149.73795871559633, 150.3342889908257]]}",open2,FALSE,2,"(3600, 5400)",0.701277068,0.267073848,0,0,0.031649084,691.089904,64.95738667
1,2,SEFL10K6_EPM2_1_2023-05-25 13-39-56.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.10260922330096, 181.86571601941748, 181.86571601941748, 149.35309466019416], [146.22688106796116, 180.61523058252428, 179.98998786407768, 147.47736650485436], [2.421055825242719, 149.35309466019416, 146.22688106796116, 1.795813106796117], [181.86571601941748, 318.7938713592233, 319.4191140776699, 180.61523058252428], [180.61523058252428, 146.22688106796116, 149.35309466019416, 181.86571601941748]], 'ys': [[1.8480504587156181, 2.444380733944976, 150.3342889908257, 149.73795871559633], [177.76548165137618, 177.76548165137618, 322.6737385321101, 323.27006880733944], [148.54529816513764, 149.73795871559633, 177.76548165137618, 178.36181192660553], [150.3342889908257, 148.54529816513764, 178.36181192660553, 177.76548165137618], [177.76548165137618, 177.76548165137618, 149.73795871559633, 150.3342889908257]]}",open2,FALSE,3,"(5400, 7200)",0.417545808,0.446418656,0.099389228,0,0.042198778,1068.99635,100.4778232
1,2,SEFL10K6_EPM2_1_2023-05-25 13-39-56.mkv,98,TRUE,0.5,40,1050,"{'xs': [[148.10260922330096, 181.86571601941748, 181.86571601941748, 149.35309466019416], [146.22688106796116, 180.61523058252428, 179.98998786407768, 147.47736650485436], [2.421055825242719, 149.35309466019416, 146.22688106796116, 1.795813106796117], [181.86571601941748, 318.7938713592233, 319.4191140776699, 180.61523058252428], [180.61523058252428, 146.22688106796116, 149.35309466019416, 181.86571601941748]], 'ys': [[1.8480504587156181, 2.444380733944976, 150.3342889908257, 149.73795871559633], [177.76548165137618, 177.76548165137618, 322.6737385321101, 323.27006880733944], [148.54529816513764, 149.73795871559633, 177.76548165137618, 178.36181192660553], [150.3342889908257, 148.54529816513764, 178.36181192660553, 177.76548165137618], [177.76548165137618, 177.76548165137618, 149.73795871559633, 150.3342889908257]]}",open2,FALSE,4,"(7200, 9000)",0.422569028,0.337935174,0,0.012004802,0.239495798,935.7239817,87.95119729
