Animal,Exclude,Batch,DOB,SurgeryDate,Virus,Group,Region,Notes,Exclude,LD,NovS,EPM1,EPM2,TR1,TR2
4,0,1,1/3/23,4/7/23,eGFP,eGFP,BLA,,,cno,cno,veh,cno,veh,cno
10,0,1,1/3/23,4/7/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,veh,cno
13,0,1,1/3/23,4/10/23,eGFP,eGFP,BLA,,,cno,cno,veh,cno,cno,veh
24,0,1,1/3/23,4/10/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,cno,veh
29,0,1,1/3/23,4/11/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,veh,cno
37,0,1,1/17/23,4/11/23,eGFP,eGFP,BLA,,,cno,cno,veh,cno,cno,veh
43,0,2,3/14/23,6/7/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,veh,cno
50,0,2,3/14/23,6/7/23,eGFP,eGFP,BLA,,,cno,cno,veh,cno,cno,veh
56,0,2,3/14/23,6/7/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,cno,veh
60,0,2,3/14/23,6/7/23,eGFP,eGFP,BLA,,,cno,cno,veh,cno,veh,cno
71,0,2,3/14/23,6/7/23,eGFP,eGFP,BLA,,,cno,cno,cno,veh,veh,cno
7,0,1,1/3/23,4/7/23,eGFP,eGFP,vHC,,,cno,cno,veh,cno,veh,cno
11,0,1,1/3/23,4/7/23,eGFP,eGFP,vHC,,,cno,cno,cno,veh,veh,cno
18,0,1,1/3/23,4/10/23,eGFP,eGFP,vHC,,,cno,cno,cno,veh,cno,veh
25,0,1,1/3/23,4/10/23,eGFP,eGFP,vHC,,,cno,cno,veh,cno,cno,veh
31,0,1,1/3/23,4/11/23,eGFP,eGFP,vHC,,,cno,cno,cno,veh,veh,cno
46,0,2,3/14/23,6/7/23,eGFP,eGFP,vHC,,,cno,cno,veh,cno,cno,veh
51,0,2,3/14/23,6/7/23,eGFP,eGFP,vHC,,,cno,cno,cno,veh,cno,veh
57,0,2,3/14/23,6/7/23,eGFP,eGFP,vHC,,,cno,cno,veh,cno,veh,cno
62,0,2,3/14/23,6/7/23,eGFP,eGFP,vHC,,,cno,cno,cno,veh,veh,cno
72,0,2,3/14/23,6/7/23,eGFP,eGFP,vHC,,,cno,cno,veh,cno,cno,veh
82,0,3,6/6/23,8/24/23,eGFP,eGFP,BLA,,,cno,cno,,,,
85,0,3,6/6/23,8/24/23,eGFP,eGFP,BLA,,,cno,cno,,,,
86,0,3,6/6/23,8/24/23,eGFP,eGFP,BLA,,,cno,cno,,,,
