Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",dark,FALSE,0,"(0, 1800)",0.279289284,0.731260411,1037.702379,103.196209
1,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",dark,FALSE,1,"(1800, 3600)",0,1,424.160367,42.18140265
1,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",dark,FALSE,2,"(3600, 5400)",0,1,288.0003253,28.64071854
1,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",dark,FALSE,3,"(5400, 7200)",0.171016102,0.830094392,706.7338173,70.28243568
1,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[0.01212849650349874, 105.2009396853147, 103.67646416083916, 1.5366040209790233], [1.5366040209790233, 103.67646416083916, 105.2009396853147, 0.7743662587412611]], 'ys': [[4.124284897025179, 4.124284897025179, 109.89316361556064, 109.39659610983982], [109.39659610983982, 109.89316361556064, 215.1654748283753, 215.6620423340961]]}",dark,FALSE,4,"(7200, 9000)",0.059966685,0.942254303,944.6146795,93.93893264
2,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 102.90602022058825, 1.5824908088235305], [1.5824908088235305, 102.90602022058825, 103.68543198529413, 1.5824908088235305]], 'ys': [[1.1485465116279088, 1.6462209302325599, 106.65552325581395, 107.65087209302325], [107.65087209302325, 106.65552325581395, 212.1625, 211.66482558139535]]}",light,FALSE,0,"(0, 1800)",0.494169906,0.512493059,2321.206502,233.9365829
2,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 102.90602022058825, 1.5824908088235305], [1.5824908088235305, 102.90602022058825, 103.68543198529413, 1.5824908088235305]], 'ys': [[1.1485465116279088, 1.6462209302325599, 106.65552325581395, 107.65087209302325], [107.65087209302325, 106.65552325581395, 212.1625, 211.66482558139535]]}",light,FALSE,1,"(1800, 3600)",0.559133815,0.445863409,1809.498174,182.3654291
2,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 102.90602022058825, 1.5824908088235305], [1.5824908088235305, 102.90602022058825, 103.68543198529413, 1.5824908088235305]], 'ys': [[1.1485465116279088, 1.6462209302325599, 106.65552325581395, 107.65087209302325], [107.65087209302325, 106.65552325581395, 212.1625, 211.66482558139535]]}",light,FALSE,2,"(3600, 5400)",0.506940589,0.497501388,1806.060487,182.0189709
2,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 102.90602022058825, 1.5824908088235305], [1.5824908088235305, 102.90602022058825, 103.68543198529413, 1.5824908088235305]], 'ys': [[1.1485465116279088, 1.6462209302325599, 106.65552325581395, 107.65087209302325], [107.65087209302325, 106.65552325581395, 212.1625, 211.66482558139535]]}",light,FALSE,3,"(5400, 7200)",0.707384786,0.309272626,1165.36214,117.4479033
2,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 102.90602022058825, 1.5824908088235305], [1.5824908088235305, 102.90602022058825, 103.68543198529413, 1.5824908088235305]], 'ys': [[1.1485465116279088, 1.6462209302325599, 106.65552325581395, 107.65087209302325], [107.65087209302325, 106.65552325581395, 212.1625, 211.66482558139535]]}",light,FALSE,4,"(7200, 9000)",0.433647973,0.578567463,1058.452284,106.6732797
3,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 103.68543198529413, 2.361902573529413], [2.361902573529413, 103.68543198529413, 102.90602022058825, 1.5824908088235305]], 'ys': [[2.1380148741418834, 3.131149885583531, 108.40346109839817, 107.41032608695653], [107.41032608695653, 108.40346109839817, 215.6620423340961, 214.17233981693363]]}",dark,FALSE,0,"(0, 1800)",0.104941699,0.896168795,1173.892855,118.109755
3,SEFL10K6_LD_1_2_3_4_2023-05-17 11-49-15.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.1413143382352953, 102.90602022058825, 103.68543198529413, 2.361902573529413], [2.361902573529413, 103.68543198529413, 102.90602022058825, 1.5824908088235305]], 'ys': [[2.1380148741418834, 3.131149885583531, 108.40346109839817, 107.41032608695653], [107.41032608695653, 108.40346109839817, 215.6620423340961, 214.17233981693363]]}",light_dark,TRUE,1,"(1800, 3600)",0.282620766,0.717379234,1311.857292,131.9908735
