Animal,File,Box,phase,subphase,component,freezing,motion
1,230521_SEFL10K6_mildstressor_g1,1,mildstressor,prepost,bl,0.59,298.27
1,230521_SEFL10K6_mildstressor_g1,1,mildstressor,prepost,post,63.33,54.76
1,230521_SEFL10K6_mildstressor_g1,1,mildstressor,startle,startle_post,62.22,15.81
1,230521_SEFL10K6_mildstressor_g1,1,mildstressor,startle,startle_pre,0,77.41
1,230521_SEFL10K6_mildstressor_g1,1,mildstressor,startle,startle_startle,0,632.72
2,230521_SEFL10K6_mildstressor_g1,2,mildstressor,prepost,bl,0,391.48
2,230521_SEFL10K6_mildstressor_g1,2,mildstressor,prepost,post,0,153.5
2,230521_SEFL10K6_mildstressor_g1,2,mildstressor,startle,startle_post,0,46.91
2,230521_SEFL10K6_mildstressor_g1,2,mildstressor,startle,startle_pre,0,105.38
2,230521_SEFL10K6_mildstressor_g1,2,mildstressor,startle,startle_startle,0,762.66
3,230521_SEFL10K6_mildstressor_g1,3,mildstressor,prepost,bl,0,453.36
3,230521_SEFL10K6_mildstressor_g1,3,mildstressor,prepost,post,28,135.26
3,230521_SEFL10K6_mildstressor_g1,3,mildstressor,startle,startle_post,93.33,4.64
3,230521_SEFL10K6_mildstressor_g1,3,mildstressor,startle,startle_pre,0,435.77
3,230521_SEFL10K6_mildstressor_g1,3,mildstressor,startle,startle_startle,0,626.26
4,230521_SEFL10K6_mildstressor_g1,4,mildstressor,prepost,bl,0,407.39
4,230521_SEFL10K6_mildstressor_g1,4,mildstressor,prepost,post,0,186.5
4,230521_SEFL10K6_mildstressor_g1,4,mildstressor,startle,startle_post,0,164
4,230521_SEFL10K6_mildstressor_g1,4,mildstressor,startle,startle_pre,0,480.96
4,230521_SEFL10K6_mildstressor_g1,4,mildstressor,startle,startle_startle,0,348.99
5,230521_SEFL10K6_mildstressor_g2,1,mildstressor,prepost,bl,0,371.92
5,230521_SEFL10K6_mildstressor_g2,1,mildstressor,prepost,post,35.33,129.85
5,230521_SEFL10K6_mildstressor_g2,1,mildstressor,startle,startle_post,88.89,13.3
5,230521_SEFL10K6_mildstressor_g2,1,mildstressor,startle,startle_pre,0,187.47
5,230521_SEFL10K6_mildstressor_g2,1,mildstressor,startle,startle_startle,0,765.7
6,230521_SEFL10K6_mildstressor_g2,2,mildstressor,prepost,bl,0,427.57
6,230521_SEFL10K6_mildstressor_g2,2,mildstressor,prepost,post,29.33,92.68
6,230521_SEFL10K6_mildstressor_g2,2,mildstressor,startle,startle_post,58.89,46.07
6,230521_SEFL10K6_mildstressor_g2,2,mildstressor,startle,startle_pre,0,535.14
6,230521_SEFL10K6_mildstressor_g2,2,mildstressor,startle,startle_startle,0,303.87
7,230521_SEFL10K6_mildstressor_g2,3,mildstressor,prepost,bl,3.96,379.21
7,230521_SEFL10K6_mildstressor_g2,3,mildstressor,prepost,post,38.33,184.65
7,230521_SEFL10K6_mildstressor_g2,3,mildstressor,startle,startle_post,0,161.4
7,230521_SEFL10K6_mildstressor_g2,3,mildstressor,startle,startle_pre,0,303.57
7,230521_SEFL10K6_mildstressor_g2,3,mildstressor,startle,startle_startle,0,1181.52
9,230521_SEFL10K6_mildstressor_g2,4,mildstressor,prepost,bl,0,437.74
9,230521_SEFL10K6_mildstressor_g2,4,mildstressor,prepost,post,28.33,129.16
9,230521_SEFL10K6_mildstressor_g2,4,mildstressor,startle,startle_post,0,79.12
9,230521_SEFL10K6_mildstressor_g2,4,mildstressor,startle,startle_pre,0,348.06
9,230521_SEFL10K6_mildstressor_g2,4,mildstressor,startle,startle_startle,0,763.24
10,230521_SEFL10K6_mildstressor_g3,1,mildstressor,prepost,bl,1.85,301.58
10,230521_SEFL10K6_mildstressor_g3,1,mildstressor,prepost,post,0,148.41
