Animal,File,Box,phase,subphase,component,freezing,motion
1,240115_SEFL10K6c_traumarec1_g1,1,traumatest,1,avg,58.88,29.86
3,240115_SEFL10K6c_traumarec1_g1,3,traumatest,1,avg,22.95,93.61
4,240115_SEFL10K6c_traumarec1_g1,4,traumatest,1,avg,43.3,39.38
5,240115_SEFL10K6c_traumarec1_g2,1,traumatest,1,avg,25,72.1
6,240115_SEFL10K6c_traumarec1_g2,2,traumatest,1,avg,82.08,4.89
7,240115_SEFL10K6c_traumarec1_g2,3,traumatest,1,avg,64.25,17.03
8,240115_SEFL10K6c_traumarec1_g2,4,traumatest,1,avg,43.77,39.1
9,240115_SEFL10K6c_traumarec1_g3,1,traumatest,1,avg,67.42,21.03
10,240115_SEFL10K6c_traumarec1_g3,2,traumatest,1,avg,23.14,108.72
11,240115_SEFL10K6c_traumarec1_g3,3,traumatest,1,avg,43.06,33.85
12,240115_SEFL10K6c_traumarec1_g3,4,traumatest,1,avg,13.81,81.56
13,240115_SEFL10K6c_traumarec1_g4,1,traumatest,1,avg,67.69,13.66
14,240115_SEFL10K6c_traumarec1_g4,2,traumatest,1,avg,48.83,37.92
15,240115_SEFL10K6c_traumarec1_g4,3,traumatest,1,avg,24.78,93.77
16,240115_SEFL10K6c_traumarec1_g4,4,traumatest,1,avg,77.88,6.07
17,240115_SEFL10K6c_traumarec1_g5,1,traumatest,1,avg,31.92,55.44
18,240115_SEFL10K6c_traumarec1_g5,2,traumatest,1,avg,93.51,1.29
19,240115_SEFL10K6c_traumarec1_g5,3,traumatest,1,avg,62.83,25.21
20,240115_SEFL10K6c_traumarec1_g5,4,traumatest,1,avg,60.32,21.08
21,240115_SEFL10K6c_traumarec1_g6,1,traumatest,1,avg,86.87,4.34
22,240115_SEFL10K6c_traumarec1_g6,2,traumatest,1,avg,69.88,14.23
23,240115_SEFL10K6c_traumarec1_g6,3,traumatest,1,avg,57.83,34.95
24,240115_SEFL10K6c_traumarec1_g6,4,traumatest,1,avg,31.37,62.11
25,240115_SEFL10K6c_traumarec1_g7,1,traumatest,1,avg,40.25,57.26
26,240115_SEFL10K6c_traumarec1_g7,2,traumatest,1,avg,62.24,26.46
27,240115_SEFL10K6c_traumarec1_g7,3,traumatest,1,avg,38.44,61.18
28,240115_SEFL10K6c_traumarec1_g7,4,traumatest,1,avg,61.64,29.79
29,240115_SEFL10K6c_traumarec1_g8,1,traumatest,1,avg,23.38,122.58
30,240115_SEFL10K6c_traumarec1_g8,2,traumatest,1,avg,56.47,29.73
31,240115_SEFL10K6c_traumarec1_g8,3,traumatest,1,avg,18.15,79.85
32,240115_SEFL10K6c_traumarec1_g8,4,traumatest,1,avg,23.85,83.16
1,240116_SEFL10K6c_trec2_g1,1,traumatest,2,avg,19.28,101.98
3,240116_SEFL10K6c_trec2_g1,3,traumatest,2,avg,9.37,107.35
4,240116_SEFL10K6c_trec2_g1,4,traumatest,2,avg,3.5,151.84
5,240116_SEFL10K6c_trec2_g2,1,traumatest,2,avg,18.94,92.36
6,240116_SEFL10K6c_trec2_g2,2,traumatest,2,avg,15.26,100.56
7,240116_SEFL10K6c_trec2_g2,3,traumatest,2,avg,64.22,15.61
8,240116_SEFL10K6c_trec2_g2,4,traumatest,2,avg,45.33,61.79
9,240116_SEFL10K6c_trec2_g3,1,traumatest,2,avg,39.91,80.86
10,240116_SEFL10K6c_trec2_g3,2,traumatest,2,avg,2.83,157.6
11,240116_SEFL10K6c_trec2_g3,3,traumatest,2,avg,17.29,81.8
12,240116_SEFL10K6c_trec2_g3,4,traumatest,2,avg,14.83,76.57
13,240116_SEFL10K6c_trec2_g4,1,traumatest,2,avg,29.67,94.2
14,240116_SEFL10K6c_trec2_g4,2,traumatest,2,avg,21.08,81.72
15,240116_SEFL10K6c_trec2_g4,3,traumatest,2,avg,26.37,77.91
16,240116_SEFL10K6c_trec2_g4,4,traumatest,2,avg,20.32,87.28
17,240116_SEFL10K6c_trec2_g5,1,traumatest,2,avg,2.33,154.08
18,240116_SEFL10K6c_trec2_g5,2,traumatest,2,avg,13.54,103.54
19,240116_SEFL10K6c_trec2_g5,3,traumatest,2,avg,63.69,29.45
20,240116_SEFL10K6c_trec2_g5,4,traumatest,2,avg,31.48,63.01
21,240116_SEFL10K6c_trec2_g6,1,traumatest,2,avg,20.6,85.75
22,240116_SEFL10K6c_trec2_g6,2,traumatest,2,avg,26.17,83.87
23,240116_SEFL10K6c_trec2_g6,3,traumatest,2,avg,41.65,56.08
24,240116_SEFL10K6c_trec2_g6,4,traumatest,2,avg,22.02,85.03
25,240116_SEFL10K6c_trec2_g7,1,traumatest,2,avg,43.56,50.58
26,240116_SEFL10K6c_trec2_g7,2,traumatest,2,avg,57.51,41.39
27,240116_SEFL10K6c_trec2_g7,3,traumatest,2,avg,32.38,83.29
28,240116_SEFL10K6c_trec2_g7,4,traumatest,2,avg,74.65,29.47
29,240116_SEFL10K6c_trec2_g8,1,traumatest,2,avg,18.22,103.32
30,240116_SEFL10K6c_trec2_g8,2,traumatest,2,avg,20.87,82.46
