Region,Cell,HM4D,SpikeT_ms_chunked,SpikeT_sec_chunked,RecordChunk,SpikeT_sec
vCA1,231101_cell2,pos,578.5999756,0.578599976,0,0.578599976
vCA1,231101_cell2,pos,1369.699951,1.369699951,0,1.369699951
vCA1,231101_cell2,pos,5734,5.734,0,5.734
vCA1,231101_cell2,pos,9027.200195,9.027200195,0,9.027200195
vCA1,231101_cell2,pos,10075,10.075,0,10.075
vCA1,231101_cell2,pos,12905.40039,12.90540039,0,12.90540039
vCA1,231101_cell2,pos,15650,15.65,0,15.65
vCA1,231101_cell2,pos,17696.80078,17.69680078,0,17.69680078
vCA1,231101_cell2,pos,19591.80078,19.59180078,0,19.59180078
vCA1,231101_cell2,pos,20398.80078,20.39880078,0,20.39880078
vCA1,231101_cell2,pos,22383.90039,22.38390039,0,22.38390039
vCA1,231101_cell2,pos,24648.09961,24.64809961,0,24.64809961
vCA1,231101_cell2,pos,25400.59961,25.40059961,0,25.40059961
vCA1,231101_cell2,pos,26383.90039,26.38390039,0,26.38390039
vCA1,231101_cell2,pos,29136.59961,29.13659961,0,29.13659961
vCA1,231101_cell2,pos,30532.40039,30.53240039,0,30.53240039
vCA1,231101_cell2,pos,37558.5,37.5585,0,37.5585
vCA1,231101_cell2,pos,42717.89844,42.71789844,0,42.71789844
vCA1,231101_cell2,pos,45871.80078,45.87180078,0,45.87180078
vCA1,231101_cell2,pos,48492,48.492,0,48.492
vCA1,231101_cell2,pos,52880.10156,52.88010156,0,52.88010156
vCA1,231101_cell2,pos,54724.69922,54.72469922,0,54.72469922
vCA1,231101_cell2,pos,55747.69922,55.74769922,0,55.74769922
vCA1,231101_cell2,pos,58927.69922,58.92769922,0,58.92769922
vCA1,231101_cell2,pos,59284.10156,59.28410156,0,59.28410156
vCA1,231101_cell2,pos,63997.19922,63.99719922,0,63.99719922
vCA1,231101_cell2,pos,65491.80078,65.49180078,0,65.49180078
vCA1,231101_cell2,pos,71461.29688,71.46129688,0,71.46129688
vCA1,231101_cell2,pos,75418.89844,75.41889844,0,75.41889844
vCA1,231101_cell2,pos,76456.70313,76.45670313,0,76.45670313
vCA1,231101_cell2,pos,80629.10156,80.62910156,0,80.62910156
vCA1,231101_cell2,pos,81999.70313,81.99970313,0,81.99970313
vCA1,231101_cell2,pos,84977.29688,84.97729688,0,84.97729688
vCA1,231101_cell2,pos,90739.39844,90.73939844,0,90.73939844
vCA1,231101_cell2,pos,92575.60156,92.57560156,0,92.57560156
vCA1,231101_cell2,pos,95021.60156,95.02160156,0,95.02160156
vCA1,231101_cell2,pos,95394.10156,95.39410156,0,95.39410156
vCA1,231101_cell2,pos,98586.10156,98.58610156,0,98.58610156
vCA1,231101_cell2,pos,100803.3984,100.8033984,0,100.8033984
vCA1,231101_cell2,pos,102076.8984,102.0768984,0,102.0768984
vCA1,231101_cell2,pos,102369,102.369,0,102.369
vCA1,231101_cell2,pos,108110.6016,108.1106016,0,108.1106016
vCA1,231101_cell2,pos,110127.1016,110.1271016,0,110.1271016
vCA1,231101_cell2,pos,115109,115.109,0,115.109
vCA1,231101_cell2,pos,119832.1016,119.8321016,0,119.8321016
vCA1,231101_cell2,pos,124538.2969,124.5382969,0,124.5382969
vCA1,231101_cell2,pos,129377.6016,129.3776016,0,129.3776016
vCA1,231101_cell2,pos,133556,133.556,0,133.556
vCA1,231101_cell2,pos,134970.4063,134.9704063,0,134.9704063
