Animal,file,Box,phase,subphase,component,freezing,motion
1,240125_SEFL10N5b_trauma_g1,1,trauma,baseline,baseline,0.4,278.04
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock01,0,1619.6
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock02,0,951.2
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock03,0,1164.97
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock04,0,735.8
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock05,0,607.9
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock06,0,1028.07
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock07,0,749.43
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock08,0,1845.27
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock09,0,1035.37
1,240125_SEFL10N5b_trauma_g1,1,trauma,shock,shock10,0,1099.23
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock01,6.67,203.75
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock02,0,194.27
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock03,36.17,38.62
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock04,61.17,38.8
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock05,40.17,32.71
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock06,77.67,9.37
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock07,30.83,97.5
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock08,68,24.49
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock09,25.67,49.88
1,240125_SEFL10N5b_trauma_g1,1,trauma,postshock,postshock10,62.67,23.69
2,240125_SEFL10N5b_trauma_g1,2,trauma,baseline,baseline,0,219.52
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock01,0,1185.97
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock02,0,1120.67
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock03,0,856.5
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock04,0,1164.57
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock05,0,954.2
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock06,0,1328.17
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock07,0,866.3
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock08,0,826
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock09,0,1207.27
2,240125_SEFL10N5b_trauma_g1,2,trauma,shock,shock10,0,1339.03
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock01,5.33,87.09
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock02,56,6.33
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock03,52.5,16.05
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock04,67.17,33.75
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock05,49.33,32.64
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock06,78.67,6.32
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock07,87.67,4.24
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock08,72.83,11.1
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock09,59,27.93
2,240125_SEFL10N5b_trauma_g1,2,trauma,postshock,postshock10,27.67,27.15
3,240125_SEFL10N5b_trauma_g1,3,trauma,baseline,baseline,0.37,165.79
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock01,0,1615.87
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock02,0,1636.6
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock03,0,1397.63
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock04,0,550.23
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock05,0,655.77
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock06,0,611.43
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock07,0,1156.43
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock08,0,736.93
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock09,0,860.2
3,240125_SEFL10N5b_trauma_g1,3,trauma,shock,shock10,0,1495.2
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock01,41.33,79.76
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock02,70,19.43
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock03,48.5,26.52
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock04,71.83,15.63
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock05,46.83,84.75
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock06,44.83,104.96
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock07,43.5,133.93
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock08,77.83,14.91
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock09,52,126.31
3,240125_SEFL10N5b_trauma_g1,3,trauma,postshock,postshock10,48,35.4
4,240125_SEFL10N5b_trauma_g1,4,trauma,baseline,baseline,0.4,213.08
4,240125_SEFL10N5b_trauma_g1,4,trauma,shock,shock01,0,336.97
4,240125_SEFL10N5b_trauma_g1,4,trauma,shock,shock02,0,527.67
4,240125_SEFL10N5b_trauma_g1,4,trauma,shock,shock03,0,574.63
