Animal,File,Box,phase,subphase,component,freezing,motion
1,201102_SEFL10e_trauma_g1,1,trauma,baseline,baseline,0,280.12
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock01,0,194.6
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock02,0,205.3
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock03,0,248.87
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock04,0,132
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock05,0,198.07
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock06,0,75.63
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock07,0,84.9
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock08,0,123.53
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock09,0,133.97
1,201102_SEFL10e_trauma_g1,1,trauma,shock,shock10,0,285.1
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock01,0,277.26
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock02,0,215.15
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock03,13.22,144.59
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock04,0,137.02
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock05,5.44,81.48
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock06,0,201.92
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock07,3.89,170.97
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock08,0,209.66
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock09,0,179.36
1,201102_SEFL10e_trauma_g1,1,trauma,postshock,postshock10,0,107.45
2,201102_SEFL10e_trauma_g1,2,trauma,baseline,baseline,0,330.6
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock01,0,1190.83
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock02,0,846.97
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock03,0,748.33
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock04,0,882.23
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock05,0,951.9
2,201102_SEFL10e_trauma_g1,2,trauma,shock,shock06,0,550.43
