Animal,Notes,DOB,SinglyHoused,Trauma,Run,Box,Anisomycin,Group
1,,1/12/21,,NT,1,1,Veh,NT - Veh
2,,1/12/21,,T,1,2,ANI_3x,T - ANI 3x
3,,1/12/21,,T,1,3,ANI_2x,T - ANI 2x
4,,1/12/21,,T,1,4,Veh,T - Veh
5,,1/12/21,,T,2,1,ANI_3x,T - ANI 3x
6,,1/12/21,,NT,2,2,Veh,NT - Veh
7,,1/12/21,,T,2,3,Veh,T - Veh
8,,1/12/21,,T,2,4,ANI_2x,T - ANI 2x
9,,1/12/21,,T,3,1,ANI_2x,T - ANI 2x
10,,1/12/21,,T,3,2,ANI_3x,T - ANI 3x
11,,1/12/21,,T,3,3,ANI_2x,T - ANI 2x
12,,1/12/21,,T,3,4,Veh,T - Veh
13,,1/12/21,,T,4,1,ANI_2x,T - ANI 2x
14,,1/12/21,,T,4,2,Veh,T - Veh
15,,1/12/21,,NT,4,3,Veh,NT - Veh
16,,1/12/21,,T,4,4,ANI_3x,T - ANI 3x
17,,1/12/21,,T,5,1,Veh,T - Veh
18,,1/12/21,,T,5,2,ANI_2x,T - ANI 2x
19,,1/12/21,,T,5,3,ANI_3x,T - ANI 3x
20,,1/12/21,,NT,5,4,Veh,NT - Veh
21,,1/12/21,,T,6,1,Veh,T - Veh
22,,1/12/21,,T,6,2,ANI_2x,T - ANI 2x
23,,1/12/21,,T,6,3,ANI_3x,T - ANI 3x
24,,1/12/21,,T,6,4,ANI_3x,T - ANI 3x
25,,1/12/21,,NT,7,1,Veh,NT - Veh
26,,1/12/21,,T,7,2,Veh,T - Veh
27,,1/12/21,,T,7,3,ANI_3x,T - ANI 3x
28,,1/12/21,,T,7,4,ANI_2x,T - ANI 2x
29,,1/12/21,,NT,8,1,Veh,NT - Veh
30,,1/12/21,,T,8,2,ANI_3x,T - ANI 3x
31,,1/12/21,,T,8,3,ANI_2x,T - ANI 2x
32,,1/12/21,,NT,8,4,Veh,NT - Veh
33,,1/12/21,,T,9,1,ANI_3x,T - ANI 3x
34,,1/12/21,,T,9,2,ANI_2x,T - ANI 2x
35,,1/12/21,,T,9,3,Veh,T - Veh
36,,1/12/21,,T,9,4,Veh,T - Veh
