Animal,File,Box,phase,subphase,component,freezing,motion
1,210406_SEFL10g2_trauma_g1,1,trauma,bl,baseline,1.77,227.91
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock01,0,116.23
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock02,0,214.33
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock03,0,208.3
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock04,0,327.27
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock05,0,81.23
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock06,0,159.03
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock07,0,134.6
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock08,0,186.93
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock09,0,42.77
1,210406_SEFL10g2_trauma_g1,1,trauma,shock,shock10,0,37.9
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock01,0,163.41
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock02,0,164.01
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock03,0,211.15
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock04,0,218.57
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock05,0,189.87
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock06,0,255.21
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock07,0,180.41
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock08,6,209.94
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock09,7.33,152.43
1,210406_SEFL10g2_trauma_g1,1,trauma,postshock,postshock10,0,96.48
2,210406_SEFL10g2_trauma_g1,2,trauma,bl,baseline,0.74,178.81
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock01,0,916.37
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock02,0,461.77
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock03,0,587.03
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock04,0,883.93
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock05,0,643.3
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock06,0,539.73
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock07,0,398.53
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock08,0,1051.53
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock09,0,623.2
2,210406_SEFL10g2_trauma_g1,2,trauma,shock,shock10,0,442.4
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock01,8,57.91
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock02,56.17,14.93
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock03,54,64.96
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock04,70.33,11.14
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock05,78.67,9.99
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock06,92.17,1.6
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock07,82.67,4.7
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock08,89.33,1.83
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock09,65.33,17.87
2,210406_SEFL10g2_trauma_g1,2,trauma,postshock,postshock10,71.83,38.22
