Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",dark,FALSE,0,"(0, 1800)",0.248195447,0.751804553,1307.970875,112.8911414
1,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",dark,FALSE,1,"(1800, 3600)",0.681288173,0.324264298,1569.941692,135.5018777
1,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",dark,FALSE,2,"(3600, 5400)",0.3714603,0.6285397,1344.226507,116.0203698
1,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",dark,FALSE,3,"(5400, 7200)",0.323709051,0.682398667,1182.464171,102.0586409
1,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.2096774193548367, 121.43548387096773, 120.08064516129032, 0.17741935483870783], [0.17741935483870783, 120.08064516129032, 122.79032258064515, 1.532258064516127]], 'ys': [[3.141730679702083, 3.141730679702083, 129.48809939478588, 128.53092993482312], [128.53092993482312, 129.48809939478588, 254.39871391992554, 253.44154445996278]]}",dark,FALSE,4,"(7200, 9000)",0.1,0.913888889,864.3112364,74.59881853
2,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.1735751295336785, 125.15803108808291, 123.82124352331606, 1.5051813471502589], [1.5051813471502589, 123.82124352331606, 125.82642487046633, 1.5051813471502589]], 'ys': [[0.997330097087368, 1.4788834951456205, 124.75655339805824, 124.75655339805824], [124.75655339805824, 124.75655339805824, 245.14490291262135, 246.10800970873785]]}",dark,FALSE,0,"(0, 1800)",0.189894503,0.815657968,1372.033,117.7167616
2,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.1735751295336785, 125.15803108808291, 123.82124352331606, 1.5051813471502589], [1.5051813471502589, 123.82124352331606, 125.82642487046633, 1.5051813471502589]], 'ys': [[0.997330097087368, 1.4788834951456205, 124.75655339805824, 124.75655339805824], [124.75655339805824, 124.75655339805824, 245.14490291262135, 246.10800970873785]]}",dark,FALSE,1,"(1800, 3600)",0.2476402,0.7523598,1089.542252,93.47981095
2,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.1735751295336785, 125.15803108808291, 123.82124352331606, 1.5051813471502589], [1.5051813471502589, 123.82124352331606, 125.82642487046633, 1.5051813471502589]], 'ys': [[0.997330097087368, 1.4788834951456205, 124.75655339805824, 124.75655339805824], [124.75655339805824, 124.75655339805824, 245.14490291262135, 246.10800970873785]]}",dark,FALSE,2,"(3600, 5400)",0.004441977,0.995558023,437.6570837,37.54980716
2,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.1735751295336785, 125.15803108808291, 123.82124352331606, 1.5051813471502589], [1.5051813471502589, 123.82124352331606, 125.82642487046633, 1.5051813471502589]], 'ys': [[0.997330097087368, 1.4788834951456205, 124.75655339805824, 124.75655339805824], [124.75655339805824, 124.75655339805824, 245.14490291262135, 246.10800970873785]]}",dark,FALSE,3,"(5400, 7200)",0.258745142,0.741810105,823.4151762,70.64681971
2,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[2.1735751295336785, 125.15803108808291, 123.82124352331606, 1.5051813471502589], [1.5051813471502589, 123.82124352331606, 125.82642487046633, 1.5051813471502589]], 'ys': [[0.997330097087368, 1.4788834951456205, 124.75655339805824, 124.75655339805824], [124.75655339805824, 124.75655339805824, 245.14490291262135, 246.10800970873785]]}",dark,FALSE,4,"(7200, 9000)",0,1,184.6691637,15.84412031
3,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[4.904255319148935, 123.12234042553192, 125.14893617021276, 2.8776595744680837], [2.8776595744680837, 125.14893617021276, 123.12234042553192, 1.5265957446808496]], 'ys': [[4.337383177570094, 5.772897196261682, 128.74859813084112, 128.27009345794391], [128.27009345794391, 128.74859813084112, 252.68130841121496, 252.68130841121496]]}",dark,FALSE,0,"(0, 1800)",0.195446974,0.823986674,1666.74068,145.6877479
3,10g3_01_02_03_04_2023-10-17 09-19-12.mkv,98,TRUE,0.5,50,1800,"{'xs': [[4.904255319148935, 123.12234042553192, 125.14893617021276, 2.8776595744680837], [2.8776595744680837, 125.14893617021276, 123.12234042553192, 1.5265957446808496]], 'ys': [[4.337383177570094, 5.772897196261682, 128.74859813084112, 128.27009345794391], [128.27009345794391, 128.74859813084112, 252.68130841121496, 252.68130841121496]]}",dark,FALSE,1,"(1800, 3600)",0.159355913,0.851749028,1200.008586,104.891271
