Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
1,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",0,"(0, 1800)",0.375902277,0.626873959,1361.254739,130.1756339
1,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",1,"(1800, 3600)",0.156024431,0.843975569,980.8115119,93.79417135
1,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",2,"(3600, 5400)",0.07995558,0.92004442,909.5402134,86.97855764
1,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",3,"(5400, 7200)",0.342032204,0.657967796,708.8005733,67.78199645
1,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.8960206834532352, 100.0974595323741, 100.0974595323741, 1.8960206834532352], [1.8960206834532352, 100.0974595323741, 100.85285521582733, 1.8960206834532352]], 'ys': [[0.3163325471698188, 0.3163325471698188, 106.31397405660378, 106.31397405660378], [106.31397405660378, 106.31397405660378, 210.80454009433961, 211.8092570754717]]}",4,"(7200, 9000)",0.247084953,0.752915047,1216.378746,116.3212657
2,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.938083022388058, 97.25151585820895, 99.55748600746267, 1.1694263059701477], [1.1694263059701477, 99.55748600746267, 100.3261427238806, 1.938083022388058]], 'ys': [[1.3125, 2.3125, 107.8125, 106.3125], [106.3125, 107.8125, 213.8125, 213.8125]]}",0,"(0, 1800)",0.00055525,0.99944475,563.001553,55.2141617
2,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.938083022388058, 97.25151585820895, 99.55748600746267, 1.1694263059701477], [1.1694263059701477, 99.55748600746267, 100.3261427238806, 1.938083022388058]], 'ys': [[1.3125, 2.3125, 107.8125, 106.3125], [106.3125, 107.8125, 213.8125, 213.8125]]}",1,"(1800, 3600)",0,1,189.308382,18.5656746
2,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.938083022388058, 97.25151585820895, 99.55748600746267, 1.1694263059701477], [1.1694263059701477, 99.55748600746267, 100.3261427238806, 1.938083022388058]], 'ys': [[1.3125, 2.3125, 107.8125, 106.3125], [106.3125, 107.8125, 213.8125, 213.8125]]}",2,"(3600, 5400)",0.2948362,0.70849528,678.515409,66.5427287
2,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.938083022388058, 97.25151585820895, 99.55748600746267, 1.1694263059701477], [1.1694263059701477, 99.55748600746267, 100.3261427238806, 1.938083022388058]], 'ys': [[1.3125, 2.3125, 107.8125, 106.3125], [106.3125, 107.8125, 213.8125, 213.8125]]}",3,"(5400, 7200)",0.00111049,0.99888951,509.924902,50.0088781
2,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.938083022388058, 97.25151585820895, 99.55748600746267, 1.1694263059701477], [1.1694263059701477, 99.55748600746267, 100.3261427238806, 1.938083022388058]], 'ys': [[1.3125, 2.3125, 107.8125, 106.3125], [106.3125, 107.8125, 213.8125, 213.8125]]}",4,"(7200, 9000)",0,1,471.077033,46.1990262
3,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.9078467153284668, 100.5939781021898, 101.35310218978103, 1.9078467153284668], [1.9078467153284668, 101.35310218978103, 102.11222627737227, 2.6669708029197077]], 'ys': [[0.8125, 1.3125, 108.8125, 107.8125], [107.8125, 108.8125, 212.8125, 212.3125]]}",0,"(0, 1800)",0.099944475,0.908939478,873.3791712,81.70678746
3,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.9078467153284668, 100.5939781021898, 101.35310218978103, 1.9078467153284668], [1.9078467153284668, 101.35310218978103, 102.11222627737227, 2.6669708029197077]], 'ys': [[0.8125, 1.3125, 108.8125, 107.8125], [107.8125, 108.8125, 212.8125, 212.3125]]}",1,"(1800, 3600)",0.053858967,0.950027762,536.4728509,50.18836566
3,ms1-4_2021-08-30 11-49-02.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.9078467153284668, 100.5939781021898, 101.35310218978103, 1.9078467153284668], [1.9078467153284668, 101.35310218978103, 102.11222627737227, 2.6669708029197077]], 'ys': [[0.8125, 1.3125, 108.8125, 107.8125], [107.8125, 108.8125, 212.8125, 212.3125]]}",2,"(3600, 5400)",0,1,462.1490682,43.23519147
