Animal,File,Box,phase,subphase,component,freezing,motion
1,210901_SEFL10j_s1_mildstressor_1,1,mildstressor,prepost,bl,0,448.12
1,210901_SEFL10j_s1_mildstressor_1,1,mildstressor,prepost,post,0,302.57
1,210901_SEFL10j_s1_mildstressor_1,1,mildstressor,startle,startle_post,0,431.7
1,210901_SEFL10j_s1_mildstressor_1,1,mildstressor,startle,startle_pre,0,383.86
1,210901_SEFL10j_s1_mildstressor_1,1,mildstressor,startle,startle_startle,0,837.32
2,210901_SEFL10j_s1_mildstressor_1,2,mildstressor,prepost,bl,0,389.72
2,210901_SEFL10j_s1_mildstressor_1,2,mildstressor,prepost,post,0,213.6
2,210901_SEFL10j_s1_mildstressor_1,2,mildstressor,startle,startle_post,0,103.92
2,210901_SEFL10j_s1_mildstressor_1,2,mildstressor,startle,startle_pre,0,556.28
2,210901_SEFL10j_s1_mildstressor_1,2,mildstressor,startle,startle_startle,0,1159.78
3,210901_SEFL10j_s1_mildstressor_1,3,mildstressor,prepost,bl,2.11,383.77
3,210901_SEFL10j_s1_mildstressor_1,3,mildstressor,prepost,post,14.33,287.8
3,210901_SEFL10j_s1_mildstressor_1,3,mildstressor,startle,startle_post,0,479.43
3,210901_SEFL10j_s1_mildstressor_1,3,mildstressor,startle,startle_pre,0,224.23
3,210901_SEFL10j_s1_mildstressor_1,3,mildstressor,startle,startle_startle,0,798.17
4,210901_SEFL10j_s1_mildstressor_1,4,mildstressor,prepost,bl,0,499.12
4,210901_SEFL10j_s1_mildstressor_1,4,mildstressor,prepost,post,0,466.44
4,210901_SEFL10j_s1_mildstressor_1,4,mildstressor,startle,startle_post,0,655.26
4,210901_SEFL10j_s1_mildstressor_1,4,mildstressor,startle,startle_pre,0,342.63
4,210901_SEFL10j_s1_mildstressor_1,4,mildstressor,startle,startle_startle,0,1302.32
5,210901_SEFL10j_s1_mildstressor_2,1,mildstressor,prepost,bl,0,406.3
5,210901_SEFL10j_s1_mildstressor_2,1,mildstressor,prepost,post,52.67,111.51
5,210901_SEFL10j_s1_mildstressor_2,1,mildstressor,startle,startle_post,45.56,120.53
5,210901_SEFL10j_s1_mildstressor_2,1,mildstressor,startle,startle_pre,0,631.42
5,210901_SEFL10j_s1_mildstressor_2,1,mildstressor,startle,startle_startle,0,979.12
6,210901_SEFL10j_s1_mildstressor_2,2,mildstressor,prepost,bl,0,557.4
6,210901_SEFL10j_s1_mildstressor_2,2,mildstressor,prepost,post,10.33,263.52
6,210901_SEFL10j_s1_mildstressor_2,2,mildstressor,startle,startle_post,0,71.47
6,210901_SEFL10j_s1_mildstressor_2,2,mildstressor,startle,startle_pre,0,336.51
6,210901_SEFL10j_s1_mildstressor_2,2,mildstressor,startle,startle_startle,0,913.06
7,210901_SEFL10j_s1_mildstressor_2,3,mildstressor,prepost,bl,0,612.22
7,210901_SEFL10j_s1_mildstressor_2,3,mildstressor,prepost,post,10.67,339.05
7,210901_SEFL10j_s1_mildstressor_2,3,mildstressor,startle,startle_post,35.56,146.82
7,210901_SEFL10j_s1_mildstressor_2,3,mildstressor,startle,startle_pre,0,616.67
7,210901_SEFL10j_s1_mildstressor_2,3,mildstressor,startle,startle_startle,0,723.73
8,210901_SEFL10j_s1_mildstressor_2,4,mildstressor,prepost,bl,0,474.77
8,210901_SEFL10j_s1_mildstressor_2,4,mildstressor,prepost,post,39.33,165.81
8,210901_SEFL10j_s1_mildstressor_2,4,mildstressor,startle,startle_post,0,343.07
8,210901_SEFL10j_s1_mildstressor_2,4,mildstressor,startle,startle_pre,0,246.59
8,210901_SEFL10j_s1_mildstressor_2,4,mildstressor,startle,startle_startle,0,875.87
9,210901_SEFL10j_s1_mildstressor_3,1,mildstressor,prepost,bl,0,471.53
9,210901_SEFL10j_s1_mildstressor_3,1,mildstressor,prepost,post,24,71.03
9,210901_SEFL10j_s1_mildstressor_3,1,mildstressor,startle,startle_post,35.56,33.22
9,210901_SEFL10j_s1_mildstressor_3,1,mildstressor,startle,startle_pre,0,252.49
9,210901_SEFL10j_s1_mildstressor_3,1,mildstressor,startle,startle_startle,0,691.17
10,210901_SEFL10j_s1_mildstressor_3,2,mildstressor,prepost,bl,0,416.31
10,210901_SEFL10j_s1_mildstressor_3,2,mildstressor,prepost,post,33,58.52
10,210901_SEFL10j_s1_mildstressor_3,2,mildstressor,startle,startle_post,0,66
10,210901_SEFL10j_s1_mildstressor_3,2,mildstressor,startle,startle_pre,0,560.14
10,210901_SEFL10j_s1_mildstressor_3,2,mildstressor,startle,startle_startle,0,633.81
11,210901_SEFL10j_s1_mildstressor_3,3,mildstressor,prepost,bl,5.57,347.28
