Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,ms1_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[-0.09989466292134959, 51.70909410112359, 50.51808286516854, 1.0911165730337065], [1.0911165730337065, 50.51808286516854, 50.51808286516854, 1.0911165730337065]], 'ys': [[0.4238735465116263, 1.080850290697673, 48.711664244186046, 48.711664244186046], [54.95294331395349, 54.95294331395349, 105.54015261627907, 104.88317587209303]]}",dark,FALSE,0,"(0, 1800)",0.345918934,0.573570239,957.539454,150.4412033
1,ms1_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[-0.09989466292134959, 51.70909410112359, 50.51808286516854, 1.0911165730337065], [1.0911165730337065, 50.51808286516854, 50.51808286516854, 1.0911165730337065]], 'ys': [[0.4238735465116263, 1.080850290697673, 48.711664244186046, 48.711664244186046], [54.95294331395349, 54.95294331395349, 105.54015261627907, 104.88317587209303]]}",dark,FALSE,1,"(1800, 3600)",0.1238201,0.751249306,681.5915636,107.0864021
1,ms1_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[-0.09989466292134959, 51.70909410112359, 50.51808286516854, 1.0911165730337065], [1.0911165730337065, 50.51808286516854, 50.51808286516854, 1.0911165730337065]], 'ys': [[0.4238735465116263, 1.080850290697673, 48.711664244186046, 48.711664244186046], [54.95294331395349, 54.95294331395349, 105.54015261627907, 104.88317587209303]]}",dark,FALSE,2,"(3600, 5400)",0,0.981121599,680.3115209,106.8852917
1,ms1_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[-0.09989466292134959, 51.70909410112359, 50.51808286516854, 1.0911165730337065], [1.0911165730337065, 50.51808286516854, 50.51808286516854, 1.0911165730337065]], 'ys': [[0.4238735465116263, 1.080850290697673, 48.711664244186046, 48.711664244186046], [54.95294331395349, 54.95294331395349, 105.54015261627907, 104.88317587209303]]}",dark,FALSE,3,"(5400, 7200)",0.229872293,0.697390339,695.8225683,109.3222676
1,ms1_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[-0.09989466292134959, 51.70909410112359, 50.51808286516854, 1.0911165730337065], [1.0911165730337065, 50.51808286516854, 50.51808286516854, 1.0911165730337065]], 'ys': [[0.4238735465116263, 1.080850290697673, 48.711664244186046, 48.711664244186046], [54.95294331395349, 54.95294331395349, 105.54015261627907, 104.88317587209303]]}",dark,FALSE,4,"(7200, 9000)",0,0.972792893,511.7635414,80.40433494
2,ms2_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[3.3739919354838688, 52.72883064516129, 52.14818548387096, 1.6320564516129012], [2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.7933467741935463]], 'ys': [[3.359197443181828, 4.012606534090919, 53.998401988636374, 53.998401988636374], [58.57226562500001, 58.24556107954546, 108.23135653409092, 107.90465198863637]]}",light,FALSE,0,"(0, 1800)",0.450305386,0.534702943,1049.578963,163.1776378
2,ms2_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[3.3739919354838688, 52.72883064516129, 52.14818548387096, 1.6320564516129012], [2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.7933467741935463]], 'ys': [[3.359197443181828, 4.012606534090919, 53.998401988636374, 53.998401988636374], [58.57226562500001, 58.24556107954546, 108.23135653409092, 107.90465198863637]]}",light,FALSE,1,"(1800, 3600)",0.126041088,0.869516935,701.0219832,108.9876181
2,ms2_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[3.3739919354838688, 52.72883064516129, 52.14818548387096, 1.6320564516129012], [2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.7933467741935463]], 'ys': [[3.359197443181828, 4.012606534090919, 53.998401988636374, 53.998401988636374], [58.57226562500001, 58.24556107954546, 108.23135653409092, 107.90465198863637]]}",light,FALSE,2,"(3600, 5400)",0.072737368,0.921154914,542.7661118,84.38363866
2,ms2_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[3.3739919354838688, 52.72883064516129, 52.14818548387096, 1.6320564516129012], [2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.7933467741935463]], 'ys': [[3.359197443181828, 4.012606534090919, 53.998401988636374, 53.998401988636374], [58.57226562500001, 58.24556107954546, 108.23135653409092, 107.90465198863637]]}",light,FALSE,3,"(5400, 7200)",0.165463631,0.834536369,525.7550388,81.73893368
2,ms2_2022-05-19 15-22-32.mkv,99.25,TRUE,0.9,100,1890,"{'xs': [[3.3739919354838688, 52.72883064516129, 52.14818548387096, 1.6320564516129012], [2.2127016129032238, 52.72883064516129, 51.56754032258064, 2.7933467741935463]], 'ys': [[3.359197443181828, 4.012606534090919, 53.998401988636374, 53.998401988636374], [58.57226562500001, 58.24556107954546, 108.23135653409092, 107.90465198863637]]}",light,FALSE,4,"(7200, 9000)",0.079400333,0.904497501,453.1122939,70.44519407
