Animal,Experiment,Box,phase,subphase,component,freezing,motion
1,220512_SEFL10K_trauma_g1,1,trauma,baseline,baseline,0,262.3
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock01,0,1167.8
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock02,0,1082.27
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock03,0,1183.3
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock04,0,752.47
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock05,0,813.53
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock06,0,837.77
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock07,0,610.63
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock08,0,735.63
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock09,0,1556
1,220512_SEFL10K_trauma_g1,1,trauma,shock,shock10,0,1160.53
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock01,10.67,168.51
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock02,14.33,58.62
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock03,34.67,61.23
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock04,29.17,51.94
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock05,75.5,9.7
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock06,86.17,12.74
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock07,60.17,22.74
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock08,72.5,12.88
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock09,76.33,9.97
1,220512_SEFL10K_trauma_g1,1,trauma,postshock,postshock10,19,15.91
2,220512_SEFL10K_trauma_g1,2,trauma,baseline,baseline,0.36,179.8
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock01,0,814.63
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock02,0,991.33
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock03,0,638.13
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock04,0,1234.93
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock05,0,796.5
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock06,0,885.67
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock07,0,454.4
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock08,0,764.7
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock09,0,574.57
2,220512_SEFL10K_trauma_g1,2,trauma,shock,shock10,0,1195.8
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock01,22.17,98.39
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock02,45.17,30.68
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock03,5.67,80.19
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock04,54.67,24.35
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock05,63.83,60.89
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock06,67,17.13
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock07,20.17,59.09
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock08,82,3.69
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock09,86,8.61
2,220512_SEFL10K_trauma_g1,2,trauma,postshock,postshock10,76.83,8.43
3,220512_SEFL10K_trauma_g1,3,trauma,baseline,baseline,0,262.52
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock01,0,851.93
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock02,0,933.73
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock03,0,972.67
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock04,0,971.37
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock05,0,941.1
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock06,0,948.17
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock07,0,977.1
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock08,0,834.6
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock09,0,869.63
3,220512_SEFL10K_trauma_g1,3,trauma,shock,shock10,0,551.53
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock01,0,190.37
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock02,26.33,150.94
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock03,32,62.66
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock04,58.67,56.45
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock05,50.67,24.06
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock06,96.5,1.56
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock07,56.17,37.92
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock08,74.83,11.4
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock09,95.83,1.29
3,220512_SEFL10K_trauma_g1,3,trauma,postshock,postshock10,82.33,17.31
4,220512_SEFL10K_trauma_g1,4,trauma,baseline,baseline,0.71,167.94
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock01,0,1124.23
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock02,0,869.1
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock03,0,1036.3
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock04,0,1094.47
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock05,0,1084.1
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock06,0,853.7
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock07,0,1238.77
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock08,0,840
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock09,0,1314.27
4,220512_SEFL10K_trauma_g1,4,trauma,shock,shock10,0,704.67
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock01,5.17,180.85
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock02,34.33,78.03
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock03,56.17,49.91
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock04,56.33,43.91
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock05,85.17,4.66
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock06,38.17,188.95
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock07,77.17,14.97
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock08,92.33,3.4
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock09,44.33,41.47
4,220512_SEFL10K_trauma_g1,4,trauma,postshock,postshock10,80,3.64
5,220512_SEFL10K_trauma_g2,1,trauma,baseline,baseline,0.71,222.48
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock01,0,1359.6
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock02,0,766.4
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock03,0,964.17
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock04,0,784.3
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock05,0,515.33
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock06,0,795.7
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock07,0,1005.8
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock08,0,789.47
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock09,0,747.8
5,220512_SEFL10K_trauma_g2,1,trauma,shock,shock10,0,355.1
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock01,0,121.99
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock02,15.5,83.31
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock03,42.33,19.97
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock04,40.5,23.77
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock05,30,77.99
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock06,78.17,6.61
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock07,59.83,16.36
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock08,68.17,20.94
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock09,81.33,10.32
5,220512_SEFL10K_trauma_g2,1,trauma,postshock,postshock10,94.17,2.82
6,220512_SEFL10K_trauma_g2,2,trauma,baseline,baseline,0.72,185.48
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock01,0,1218.37
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock02,0,825.7
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock03,0,853.57
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock04,0,1459.5
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock05,0,1065.83
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock06,0,1073.07
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock07,0,1304.9
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock08,0,1041.57
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock09,0,1591
6,220512_SEFL10K_trauma_g2,2,trauma,shock,shock10,0,1259.1
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock01,0,127.08
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock02,0,152.09
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock03,40.5,51.98
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock04,40.83,20.73
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock05,65,14.29
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock06,66.17,31.2
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock07,78.33,15.38
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock08,75.67,16.11
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock09,66.33,20.31
6,220512_SEFL10K_trauma_g2,2,trauma,postshock,postshock10,50,97.41
7,220512_SEFL10K_trauma_g2,3,trauma,baseline,baseline,0,285.65
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock01,0,894.1
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock02,0,890.3
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock03,0,508.83
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock04,0,815.33
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock05,0,772.37
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock06,0,991.2
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock07,0,651.73
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock08,0,1129.23
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock09,0,436.53
7,220512_SEFL10K_trauma_g2,3,trauma,shock,shock10,0,505.53
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock01,0,183.63
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock02,7.5,137.4
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock03,7.5,120.85
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock04,56,53.89
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock05,42.67,44.2
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock06,29.33,51.66
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock07,59.67,52.95
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock08,82.33,11.99
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock09,82,17.52
7,220512_SEFL10K_trauma_g2,3,trauma,postshock,postshock10,62.83,28.23
8,220512_SEFL10K_trauma_g2,4,trauma,baseline,baseline,0,298.35
