Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),closed1,closed2,open1,open2,ctr,Distance_px,Distance_in
1,1,EPM1_01_2022-11-30 11-12-52.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",ctr,FALSE,0,"(0, 1800)",0.07051638,0.215991116,0.302609661,0.256524153,0.164908384,1017.808086,145.3241522
1,1,EPM1_01_2022-11-30 11-12-52.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",ctr,FALSE,1,"(1800, 3600)",0.245974459,0.228761799,0.077179345,0.353137146,0.107717934,1385.601372,197.8382245
1,1,EPM1_01_2022-11-30 11-12-52.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",ctr,FALSE,2,"(3600, 5400)",0.458078845,0.294836202,0.01332593,0.149916713,0.118267629,895.9720517,127.928222
1,1,EPM1_01_2022-11-30 11-12-52.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",ctr,FALSE,3,"(5400, 7200)",0.107162687,0.303164908,0.2570794,0.054969461,0.302054414,703.9797915,100.5152816
1,1,EPM1_01_2022-11-30 11-12-52.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",ctr,FALSE,4,"(7200, 9000)",0.131666667,0.394444444,0.028333333,0.091111111,0.401111111,569.9336964,81.37598078
2,1,EPM1_02_2022-11-30 11-22-37.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",closed2,FALSE,0,"(0, 1800)",0.35813437,0.303720155,0.07995558,0.134369795,0.151582454,1187.211335,169.5118
2,1,EPM1_02_2022-11-30 11-22-37.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",closed2,FALSE,1,"(1800, 3600)",0.194891727,0.271515825,0.145474736,0.186007773,0.216546363,935.0188145,133.5033769
2,1,EPM1_02_2022-11-30 11-22-37.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",closed2,FALSE,2,"(3600, 5400)",0.290949473,0.392004442,0.087729039,0.067740144,0.19433648,723.84243,103.3512987
2,1,EPM1_02_2022-11-30 11-22-37.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",closed2,FALSE,3,"(5400, 7200)",0.566352027,0.266518601,0.1143809,0,0.106052193,453.8581116,64.80253615
2,1,EPM1_02_2022-11-30 11-22-37.mkv,99.5,TRUE,0.9,50,900,"{'xs': [[99.13046276340997, 116.5902328783525, 118.66877693965517, 99.5461715756705], [98.71475395114943, 118.66877693965517, 118.25306812739464, 98.29904513888889], [2.6860183189655165, 99.5461715756705, 98.71475395114943, 2.2703095067049803], [118.66877693965517, 213.03467732279694, 213.866094947318, 118.66877693965517], [118.66877693965517, 98.71475395114943, 99.5461715756705, 118.66877693965517]], 'ys': [[4.511418269230772, 4.90885416666667, 102.28064903846155, 102.28064903846155], [120.16526442307692, 120.56270032051282, 215.54987980769232, 214.3575721153846], [102.67808493589745, 102.28064903846155, 120.16526442307692, 120.56270032051282], [102.28064903846155, 102.28064903846155, 121.75500801282051, 120.56270032051282], [120.56270032051282, 120.16526442307692, 102.28064903846155, 102.28064903846155]]}",closed2,FALSE,4,"(7200, 9000)",0,0.984444444,0,0,0.023333333,246.0942637,35.13770496
