Animal,testnum,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),DstFrmCnt_in,Distance_px,Distance_in
1,1,OF1_01_2022-11-28 13-01-41.mkv,99,TRUE,0.7,50,1260,0,"(0, 1800)",7.060633609,3103.883259,317.2697396
1,1,OF1_01_2022-11-28 13-01-41.mkv,99,TRUE,0.7,50,1260,1,"(1800, 3600)",7.1037787,2074.868874,212.0869415
1,1,OF1_01_2022-11-28 13-01-41.mkv,99,TRUE,0.7,50,1260,2,"(3600, 5400)",6.217951956,1786.11649,182.5715294
1,1,OF1_01_2022-11-28 13-01-41.mkv,99,TRUE,0.7,50,1260,3,"(5400, 7200)",7.150820479,1323.135756,135.2470121
1,1,OF1_01_2022-11-28 13-01-41.mkv,99,TRUE,0.7,50,1260,4,"(7200, 9000)",6.561986865,960.8268235,98.21286776
1,2,OF2_01_2022-12-05 11-25-31.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.243410011,4498.234335,303.5353637
1,2,OF2_01_2022-12-05 11-25-31.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.502637861,3430.582625,231.4915292
1,2,OF2_01_2022-12-05 11-25-31.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",7.42290353,3555.261694,239.9047206
1,2,OF2_01_2022-12-05 11-25-31.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",5.990133271,3109.278112,209.8102928
1,2,OF2_01_2022-12-05 11-25-31.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",6.491230633,2287.250087,154.3408448
2,1,OF1_02_2022-11-28 13-15-20.mkv,99,TRUE,0.7,50,1200,0,"(0, 1800)",7.877050547,2959.853193,298.7400167
2,1,OF1_02_2022-11-28 13-15-20.mkv,99,TRUE,0.7,50,1200,1,"(1800, 3600)",7.461312226,2203.478165,222.3985654
2,1,OF1_02_2022-11-28 13-15-20.mkv,99,TRUE,0.7,50,1200,2,"(3600, 5400)",6.217331037,1752.292482,176.8600843
2,1,OF1_02_2022-11-28 13-15-20.mkv,99,TRUE,0.7,50,1200,3,"(5400, 7200)",5.910921538,1222.947726,123.4329544
2,1,OF1_02_2022-11-28 13-15-20.mkv,99,TRUE,0.7,50,1200,4,"(7200, 9000)",7.301954251,1925.020305,194.2936222
2,2,OF2_02_2022-12-05 11-35-42.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.577525986,3539.800555,238.8614218
2,2,OF2_02_2022-12-05 11-35-42.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",6.675654084,2390.403568,161.3015157
2,2,OF2_02_2022-12-05 11-35-42.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",6.895942876,1727.178739,116.5479136
2,2,OF2_02_2022-12-05 11-35-42.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",6.992116112,1322.238252,89.22302369
2,2,OF2_02_2022-12-05 11-35-42.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.672572997,2569.614655,173.3944612
3,1,OF1_03_2022-11-28 13-29-09.mkv,99,TRUE,0.7,50,1200,0,"(0, 1800)",8.12983459,1102.691641,111.2954251
3,1,OF1_03_2022-11-28 13-29-09.mkv,99,TRUE,0.7,50,1200,1,"(1800, 3600)",7.775465315,1811.285741,182.8143146
3,1,OF1_03_2022-11-28 13-29-09.mkv,99,TRUE,0.7,50,1200,2,"(3600, 5400)",8.617151214,433.6203881,43.76560374
3,1,OF1_03_2022-11-28 13-29-09.mkv,99,TRUE,0.7,50,1200,3,"(5400, 7200)",7.942769369,1109.354649,111.9679271
3,1,OF1_03_2022-11-28 13-29-09.mkv,99,TRUE,0.7,50,1200,4,"(7200, 9000)",8.720980193,204.1623767,20.60624898
3,2,OF2_03_2022-12-05 11-44-26.mkv,99,TRUE,0.7,50,900,0,"(0, 1800)",7.163661383,1850.135592,124.8448921
3,2,OF2_03_2022-12-05 11-44-26.mkv,99,TRUE,0.7,50,900,1,"(1800, 3600)",7.742012519,1571.3429,106.0323014
3,2,OF2_03_2022-12-05 11-44-26.mkv,99,TRUE,0.7,50,900,2,"(3600, 5400)",7.37766606,1786.265921,120.5350446
3,2,OF2_03_2022-12-05 11-44-26.mkv,99,TRUE,0.7,50,900,3,"(5400, 7200)",7.698413371,1322.209721,89.22109849
3,2,OF2_03_2022-12-05 11-44-26.mkv,99,TRUE,0.7,50,900,4,"(7200, 9000)",7.003833196,1444.320529,97.4609868
4,1,OF1_04_2022-11-28 13-43-15.mkv,99,TRUE,0.9,50,1110,0,"(0, 1800)",7.554785107,2114.001761,218.3933615
4,1,OF1_04_2022-11-28 13-43-15.mkv,99,TRUE,0.9,50,1110,1,"(1800, 3600)",7.00547456,1623.843593,167.7560858
4,1,OF1_04_2022-11-28 13-43-15.mkv,99,TRUE,0.9,50,1110,2,"(3600, 5400)",7.347611824,1440.647785,148.8304873
4,1,OF1_04_2022-11-28 13-43-15.mkv,99,TRUE,0.9,50,1110,3,"(5400, 7200)",6.577329414,1687.260678,174.30758
4,1,OF1_04_2022-11-28 13-43-15.mkv,99,TRUE,0.9,50,1110,4,"(7200, 9000)",7.436759627,1025.156266,105.9068763
