Animal,File,Box,phase,subphase,component,freezing,motion
1,230202_SEFL10K5_trauma_g1,1,trauma,baseline,baseline,0,168.7
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock01,0,601.43
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock02,0,681.47
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock03,0,773.97
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock04,0,564.87
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock05,0,1119.83
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock06,0,442.5
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock07,0,494.37
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock08,0,366.7
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock09,0,1116.17
1,230202_SEFL10K5_trauma_g1,1,trauma,shock,shock10,0,426.07
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock01,24.67,39.19
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock02,19.5,60.4
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock03,52.67,16.92
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock04,75.67,28.46
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock05,71,16.19
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock06,74.67,23.1
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock07,75.5,4.58
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock08,54.17,20.38
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock09,84.83,8.4
1,230202_SEFL10K5_trauma_g1,1,trauma,postshock,postshock10,98.83,1.47
2,230202_SEFL10K5_trauma_g1,2,trauma,baseline,baseline,0.52,209.17
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock01,0,1090.53
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock02,0,1147.63
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock03,0,1248.8
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock04,0,1693.7
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock05,0,1454.1
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock06,0,399.6
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock07,0,1421.87
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock08,0,1629.77
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock09,0,558.37
2,230202_SEFL10K5_trauma_g1,2,trauma,shock,shock10,0,1173
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock01,0,102.58
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock02,21,53.05
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock03,62.5,17.56
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock04,78,7.96
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock05,76.83,6.53
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock06,87.33,4.89
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock07,55.5,17.93
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock08,84.67,4.38
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock09,84.67,5.68
2,230202_SEFL10K5_trauma_g1,2,trauma,postshock,postshock10,68.33,11.66
3,230202_SEFL10K5_trauma_g1,3,trauma,baseline,baseline,10.26,179.17
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock01,0,817.9
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock02,0,932.13
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock03,0,667.17
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock04,0,902.97
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock05,0,1413.5
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock06,0,851.83
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock07,0,1126.8
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock08,0,928.07
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock09,0,490.93
3,230202_SEFL10K5_trauma_g1,3,trauma,shock,shock10,0,836.57
3,230202_SEFL10K5_trauma_g1,3,trauma,postshock,postshock01,18.83,174.74
3,230202_SEFL10K5_trauma_g1,3,trauma,postshock,postshock02,72.83,25
3,230202_SEFL10K5_trauma_g1,3,trauma,postshock,postshock03,73.83,12.02
3,230202_SEFL10K5_trauma_g1,3,trauma,postshock,postshock04,78,32.79
3,230202_SEFL10K5_trauma_g1,3,trauma,postshock,postshock05,86.67,5.18
