Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),c1,c2,o1,2,ctr,Distance_px,Distance_in
11,SEFL_1C_EPM_11_2023-09-26 16-09-19.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0,0.117712382,0.39422543,0.369239311,0.134369795,1648.320488,237.4977126
12,SEFL_1C_EPM_12_2023-09-26 16-16-05.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",ctr,FALSE,0,"(0, 1800)",0.290949473,0.219877846,0.05330372,0.102720711,0.360910605,1469.273073,211.6997249
13,SEFL_1C_EPM_13_2023-09-26 16-22-24.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2_ctr,FALSE,0,"(0, 1800)",0.22098834,0.432537479,0.039422543,0.059966685,0.293725708,1479.776903,213.2131658
14,SEFL_1C_EPM_14_2023-09-26 16-28-47.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.275402554,0.268739589,0.082731816,0.138811771,0.262076624,1696.375669,244.4217274
15,SEFL_1C_EPM_15_2023-09-26 16-35-01.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",ctr,FALSE,0,"(0, 1800)",0,0.7429206,0.046640755,0.033314825,0.215991116,889.3427801,128.1406604
16,SEFL_1C_EPM_16_2023-09-26 16-41-41.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.138811771,0.474736258,0.067184897,0.085508051,0.261521377,1480.030322,213.2496797
17,SEFL_1C_EPM_17_2023-09-26 16-48-12.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",ctr,FALSE,0,"(0, 1800)",0.348695169,0.302054414,0.097723487,0.061632426,0.214325375,1831.636983,263.9108092
18,SEFL_1C_EPM_18_2023-09-26 16-54-42.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.43420322,0.31038312,0,0.017767907,0.252082177,1512.747081,217.963663
19,SEFL_1C_EPM_19_2023-09-26 17-01-08.mkv,98,TRUE,0.2,25,1050,"{'xs': [[94.09854014598541, 115.12043795620438, 118.79927007299271, 96.72627737226279], [95.14963503649636, 118.79927007299271, 117.74817518248176, 97.25182481751825], [2.6532846715328486, 96.72627737226279, 95.14963503649636, 2.6532846715328486], [118.79927007299271, 213.92335766423358, 213.92335766423358, 118.79927007299271], [118.79927007299271, 95.14963503649636, 96.72627737226279, 118.79927007299271]], 'ys': [[1.1055882352941102, 1.1055882352941102, 98.875, 98.37617647058823], [116.83264705882353, 116.83264705882353, 209.61382352941177, 210.6114705882353], [98.875, 98.37617647058823, 116.83264705882353, 117.83029411764706], [98.875, 96.38088235294117, 115.83500000000001, 116.83264705882353], [116.83264705882353, 116.83264705882353, 98.37617647058823, 98.875]]}",c2,FALSE,0,"(0, 1800)",0,1,0,0,0,431.8640193,63.37047399
20,SEFL_1C_EPM_20_2023-09-26 17-07-43.mkv,98,TRUE,0.5,50,1050,"{'xs': [[92.79556650246306, 114.93349753694582, 117.56896551724138, 93.84975369458128], [93.32266009852218, 115.98768472906404, 116.51477832512316, 94.90394088669952], [1.0812807881773407, 93.84975369458128, 93.32266009852218, 1.0812807881773407], [117.56896551724138, 212.44581280788177, 213.5, 115.98768472906404], [115.98768472906404, 93.32266009852218, 93.84975369458128, 117.56896551724138]], 'ys': [[0.2620639534883739, 0.7597383720930251, 98.30392441860465, 98.30392441860465], [116.22020348837209, 116.71787790697674, 213.26671511627907, 213.26671511627907], [98.8015988372093, 98.30392441860465, 116.22020348837209, 118.21090116279069], [98.30392441860465, 96.31322674418604, 117.71322674418604, 116.71787790697674], [116.71787790697674, 116.22020348837209, 98.30392441860465, 98.30392441860465]]}",c2,FALSE,0,"(0, 1800)",0.173237091,0.456413104,0.099944475,0.1332593,0.158245419,1461.676346,210.6051531
