Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",light,FALSE,0,"(0, 1800)",0.472515269,0.530816213,2366.591729,238.1835476
1,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",light,FALSE,1,"(1800, 3600)",0.279844531,0.722931705,1854.083751,186.602632
1,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",light,FALSE,2,"(3600, 5400)",0.262631871,0.744031094,1669.613637,168.0367993
1,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",light,FALSE,3,"(5400, 7200)",0.28761799,0.719600222,1588.259478,159.8489812
1,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[3.3111888111888135, 105.45104895104896, 104.68881118881119, 1.786713286713289], [1.786713286713289, 104.68881118881119, 105.45104895104896, 1.786713286713289]], 'ys': [[1.8431779176201444, 1.3466104118993205, 109.5983266590389, 108.10862414187643], [108.10862414187643, 109.5983266590389, 215.36720537757438, 214.3740703661327]]}",light,FALSE,4,"(7200, 9000)",0.26096613,0.740699611,1556.434554,156.6459897
2,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0588235294117658, 101.6029411764706, 101.6029411764706, 1.8382352941176483], [1.8382352941176483, 101.6029411764706, 103.16176470588236, 1.8382352941176483]], 'ys': [[1.8431779176201444, 1.8431779176201444, 111.5845966819222, 110.09489416475974], [110.09489416475974, 111.5845966819222, 214.87063787185355, 214.3740703661327]]}",dark,FALSE,0,"(0, 1800)",0.409772349,0.593003887,1519.401395,150.4395055
2,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0588235294117658, 101.6029411764706, 101.6029411764706, 1.8382352941176483], [1.8382352941176483, 101.6029411764706, 103.16176470588236, 1.8382352941176483]], 'ys': [[1.8431779176201444, 1.8431779176201444, 111.5845966819222, 110.09489416475974], [110.09489416475974, 111.5845966819222, 214.87063787185355, 214.3740703661327]]}",dark,FALSE,1,"(1800, 3600)",0.264297612,0.751249306,1346.219091,133.2923182
2,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0588235294117658, 101.6029411764706, 101.6029411764706, 1.8382352941176483], [1.8382352941176483, 101.6029411764706, 103.16176470588236, 1.8382352941176483]], 'ys': [[1.8431779176201444, 1.8431779176201444, 111.5845966819222, 110.09489416475974], [110.09489416475974, 111.5845966819222, 214.87063787185355, 214.3740703661327]]}",dark,FALSE,2,"(3600, 5400)",0.018878401,0.983342587,938.8309154,92.95585687
2,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0588235294117658, 101.6029411764706, 101.6029411764706, 1.8382352941176483], [1.8382352941176483, 101.6029411764706, 103.16176470588236, 1.8382352941176483]], 'ys': [[1.8431779176201444, 1.8431779176201444, 111.5845966819222, 110.09489416475974], [110.09489416475974, 111.5845966819222, 214.87063787185355, 214.3740703661327]]}",dark,FALSE,3,"(5400, 7200)",0.235424764,0.768461966,891.317693,88.25146097
2,01_02_03_04_SEFL1C_2023-09-18 08-57-23.mkv,98,TRUE,0.5,50,1800,"{'xs': [[1.0588235294117658, 101.6029411764706, 101.6029411764706, 1.8382352941176483], [1.8382352941176483, 101.6029411764706, 103.16176470588236, 1.8382352941176483]], 'ys': [[1.8431779176201444, 1.8431779176201444, 111.5845966819222, 110.09489416475974], [110.09489416475974, 111.5845966819222, 214.87063787185355, 214.3740703661327]]}",dark,FALSE,4,"(7200, 9000)",0,1,606.8164211,60.08232096
