Animal,file,Box,phase,subphase,component,freezing,motion
1,230911_SEFL1c_trauma_g1,1,trauma,baseline,baseline,0,220.33
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock01,0,75.43
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock02,0,311.4
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock03,0,193.97
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock04,0,228.77
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock05,0,333.53
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock06,0,351.13
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock07,0,3.8
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock08,0,182.33
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock09,0,70.73
1,230911_SEFL1c_trauma_g1,1,trauma,shock,shock10,0,239.27
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock01,0,198.62
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock02,0,164.61
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock03,0,141.28
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock04,6.83,202.38
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock05,0,121.17
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock06,0,156.93
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock07,0,200.48
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock08,5.17,157.56
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock09,0,171.46
1,230911_SEFL1c_trauma_g1,1,trauma,postshock,postshock10,0,142.29
2,230911_SEFL1c_trauma_g1,2,trauma,baseline,baseline,0.62,165.48
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock01,0,1050
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock02,0,1047.97
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock03,0,1310.1
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock04,0,700.6
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock05,0,527.07
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock06,0,669.43
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock07,0,685.47
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock08,0,1253.9
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock09,0,962.23
2,230911_SEFL1c_trauma_g1,2,trauma,shock,shock10,0,655.8
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock01,47.83,19.14
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock02,40.33,20.27
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock03,68.17,13.53
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock04,56.83,15.47
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock05,51.67,18.5
2,230911_SEFL1c_trauma_g1,2,trauma,postshock,postshock06,43.33,32.02
