Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),c1,c2,o1,2,ctr,Distance_px,Distance_in
1,sefl1d_01_2023-11-21 09-17-43.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",c2,FALSE,0,"(0, 1800)",0.139922265,0.29150472,0.226540811,0.195446974,0.152137701,2793.705121,263.0211193
2,sefl1d_02_2023-11-21 09-26-05.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",c2,FALSE,0,"(0, 1800)",0.302054414,0.255413659,0.068850639,0.15047196,0.239866741,2387.118053,224.7418518
3,sefl1d_03_2023-11-21 09-34-47.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",c2,FALSE,0,"(0, 1800)",0.319267074,0.333148251,0.03997779,0.102165464,0.223764575,2422.646775,228.0868019
4,sefl1d_04_023-11-21 09-44-10.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",o1,FALSE,0,"(0, 1800)",0.309272626,0.380344253,0.041088284,0.053858967,0.236535258,2863.32831,269.5759877
5,sefl1d_05_2023-11-21 09-51-17.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",c2,FALSE,0,"(0, 1800)",0.002220988,0.739589117,0.021654636,0.041643531,0.209883398,1381.062292,130.023941
6,sefl1d_06_2023-11-21 09-58-42.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",ctr,FALSE,0,"(0, 1800)",0.372570794,0.181565797,0.01721266,0.028317601,0.40755136,2120.999079,199.6873427
7,sefl1d_07_2023-11-21 10-05-46.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",o1,FALSE,0,"(0, 1800)",0.401443642,0.303720155,0.014991671,0.048861743,0.252082177,2859.316525,269.198287
8,sefl1d_08_2023-11-21 10-13-04.mkv,98,TRUE,0.1,50,1050,"{'xs': [[145.08590308370046, 80.38105726872247, 223.11233480176213, 176.48678414096918], [144.61013215859032, 174.10792951541853, 213.12114537444936, 104.16960352422909], [5.209251101321588, 145.08590308370046, 144.61013215859032, 3.7819383259911907], [176.48678414096918, 318.2665198237886, 320.16960352422916, 174.10792951541853], [174.10792951541853, 144.61013215859032, 145.08590308370046, 176.48678414096918]], 'ys': [[147.4852966994382, 1.4375438904494566, 1.8968135533708048, 147.4852966994382], [176.41928546348316, 178.7156337780899, 324.3041169241573, 323.844847261236], [117.17349894662924, 147.4852966994382, 176.41928546348316, 216.37574613764048], [147.4852966994382, 107.06956636235957, 211.78304950842698, 178.7156337780899], [178.7156337780899, 176.41928546348316, 147.4852966994382, 147.4852966994382]]}",c2,FALSE,0,"(0, 1800)",0.0094392,0.853970017,0.019433648,0.000555247,0.132148806,3150.263181,300.2288566
9,sefl1d_09_2023-11-21 10-20-49.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",c2,FALSE,0,"(0, 1800)",0.081066074,0.339811216,0.056079956,0.225430316,0.308162132,2517.80387,237.0456306
10,sefl1d_10_2023-11-21 10-28-17.mkv,98,TRUE,0.1,50,1050,"{'xs': [[147.01098096632506, 178.41654465592975, 208.39458272327968, 101.8060029282577], [147.9626647144949, 174.6098096632504, 211.24963396778918, 115.60541727672037], [147.01098096632506, 3.7825768667642743, 3.7825768667642743, 147.9626647144949], [178.41654465592975, 320.21742313323574, 323.07247437774527, 178.41654465592975], [178.41654465592975, 147.9626647144949, 147.01098096632506, 178.41654465592975]], 'ys': [[147.95386477761838, 147.03277439024393, 2.421583572453394, 2.421583572453394], [175.58657639885223, 175.126031205165, 319.2766768292683, 319.2766768292683], [147.95386477761838, 115.25515602582497, 205.98255918220949, 175.58657639885223], [147.03277439024393, 106.50479734576759, 208.28528515064562, 174.66548601147778], [174.66548601147778, 175.58657639885223, 147.95386477761838, 147.03277439024393]]}",o1,FALSE,0,"(0, 1800)",0.209328151,0.304275403,0.081621321,0.084952804,0.361465852,2250.195326,211.8508818
