Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,SEFL1D_01_02_03_04_2023-11-16 09-52-51.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",light,FALSE,0,"(0, 1800)",0.13714603,0.86285397,1153.506081,99.95665802
5,SEFL1D_05_06_07_08_2023-11-16 10-02-30.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",dark,FALSE,0,"(0, 1800)",0.07051638,0.930594114,533.2411341,46.20782029
9,SEFL1D_09_10_11_12_2023-11-16 10-14-15.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",light,FALSE,0,"(0, 1800)",0.167129373,0.833425875,1052.66236,91.21808135
13,SEFL1D_13_14_15_16_2023-11-16 10-24-25.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",dark,FALSE,0,"(0, 1800)",0.486396446,0.514714048,2191.625595,189.9145343
17,SEFL1D_17_18_19_20_2023-11-16 10-34-40.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",dark,FALSE,0,"(0, 1800)",0.212104386,0.789006108,1505.358878,130.4463367
21,SEFL1D_21_22_23_24_2023-11-16 11-08-33.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",light,FALSE,0,"(0, 1800)",0.837867851,0.164353137,1615.569896,139.9966331
25,SEFL1D_25_26_27_28_2023-11-16 11-18-01.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",light,FALSE,0,"(0, 1800)",0.912826208,0.088284287,1049.86585,90.97575078
29,SEFL1D_29_30_31_32_2023-11-16 11-27-39.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",dark,FALSE,0,"(0, 1800)",0.531926707,0.469183787,2195.310577,190.2338551
33,SEFL1D_33_34_35_36_2023-11-16 11-37-54.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",dark,FALSE,0,"(0, 1800)",0.471960022,0.53137146,1489.168381,129.0433549
37,SEFL1D_37_38_39_40_2023-11-16 11-47-55.mkv,98,TRUE,0.3,100,1950,"{'xs': [[2.240331491712709, 120.75966850828729, 119.38950276243094, 0.18508287292817882], [0.18508287292817882, 119.38950276243094, 120.07458563535911, 1.5552486187845325]], 'ys': [[1.7389248084291198, 2.2197677203065145, 125.31555316091955, 125.79639607279694], [125.79639607279694, 125.31555316091955, 248.89218151340998, 247.93049568965517]]}",light,FALSE,0,"(0, 1800)",0.648528595,0.352581899,1536.947297,133.1836198
