Animal,File,Box,phase,subphase,component,freezing,motion
1,09112023_SEFL1D_trauma_G1,1,trauma,baseline,baseline,0.34,227.45
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock01,0,1576.13
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock02,0,712.07
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock03,0,1018.13
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock04,0,902.53
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock05,0,932
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock06,0,842.47
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock07,0,1319.7
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock08,0,890.13
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock09,0,459.9
1,09112023_SEFL1D_trauma_G1,1,trauma,shock,shock10,0,445.43
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock01,10.83,236.47
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock02,43.33,40.08
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock03,63.83,25.47
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock04,68,13.53
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock05,50.67,28.72
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock06,73.83,10.52
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock07,94.5,0.86
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock08,82,7.32
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock09,62.67,7.4
1,09112023_SEFL1D_trauma_G1,1,trauma,postshock,postshock10,100,0
2,09112023_SEFL1D_trauma_G1,2,trauma,baseline,baseline,0,230.34
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock01,0,1391.47
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock02,0,1181.13
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock03,0,1197.77
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock04,0,892.53
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock05,0,915.7
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock06,0,765.2
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock07,0,937.2
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock08,0,763.83
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock09,0,1171.03
2,09112023_SEFL1D_trauma_G1,2,trauma,shock,shock10,0,1135.63
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock01,25.67,33.41
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock02,86.33,4.65
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock03,41.5,104.93
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock04,73.33,11.6
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock05,88.83,2.16
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock06,61.5,16.39
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock07,53.5,15.77
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock08,80.67,5.57
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock09,89.17,5.72
2,09112023_SEFL1D_trauma_G1,2,trauma,postshock,postshock10,93.5,1.17
3,09112023_SEFL1D_trauma_G1,3,trauma,baseline,baseline,0.47,259.08
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock01,0,335.97
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock02,0,504.37
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock03,0,809.53
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock04,0,708.83
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock05,0,1000.1
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock06,0,443.9
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock07,0,763.53
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock08,0,798.2
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock09,0,1022
3,09112023_SEFL1D_trauma_G1,3,trauma,shock,shock10,0,475.87
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock01,0,216.22
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock02,0,219.73
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock03,0,158.96
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock04,16.33,62.84
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock05,8.33,171.78
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock06,25,91.83
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock07,42.83,33.83
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock08,28.83,61.53
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock09,22.17,73.48
3,09112023_SEFL1D_trauma_G1,3,trauma,postshock,postshock10,15.33,70.42
4,09112023_SEFL1D_trauma_G1,4,trauma,baseline,baseline,1.24,240.57
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock01,0,211.6
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock02,0,501.67
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock03,0,111.8
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock04,0,177.9
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock05,0,180.6
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock06,0,111.57
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock07,0,253.97
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock08,0,480.1
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock09,0,67.33
4,09112023_SEFL1D_trauma_G1,4,trauma,shock,shock10,0,36
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock01,0,210.52
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock02,0,114.62
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock03,0,212.61
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock04,0,184.51
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock05,0,277.2
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock06,7,150.23
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock07,0,242.3
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock08,0,203.14
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock09,0,186.03
4,09112023_SEFL1D_trauma_G1,4,trauma,postshock,postshock10,0,229.31
5,09112023_SEFL1D_trauma_G2,2,trauma,baseline,baseline,0,263.35
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock01,0,1092.93
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock02,0,926.9
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock03,0,1076.73
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock04,0,2003.8
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock05,0,978.57
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock06,0,1140.93
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock07,0,1139.4
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock08,0,869.63
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock09,0,909.4
5,09112023_SEFL1D_trauma_G2,2,trauma,shock,shock10,0,640.67
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock01,20.17,56.71
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock02,77.33,11.95
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock03,71,19.73
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock04,66.83,31.2
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock05,58.83,18.21
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock06,99.33,0.71
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock07,35.67,69.71
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock08,79.33,7.69
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock09,86.83,4.33
5,09112023_SEFL1D_trauma_G2,2,trauma,postshock,postshock10,40.17,29.6
6,09112023_SEFL1D_trauma_G2,3,trauma,baseline,baseline,1.24,187.74
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock01,0,744.63
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock02,0,588.1
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock03,0,870.8
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock04,0,730.83
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock05,0,1093.93
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock06,0,1268.27
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock07,0,1547.43
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock08,0,264.93
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock09,0,1289.67
6,09112023_SEFL1D_trauma_G2,3,trauma,shock,shock10,0,688.07
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock01,0,143.79
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock02,5.17,78.53
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock03,34.17,25.59
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock04,33.83,72.46
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock05,43,37.02
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock06,10.83,89.44
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock07,65.83,12.86
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock08,32.83,56.68
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock09,62,13.87
6,09112023_SEFL1D_trauma_G2,3,trauma,postshock,postshock10,47.5,24.27
7,09112023_SEFL1D_trauma_G2,4,trauma,baseline,baseline,1.6,197.07
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock01,0,339.5
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock02,0,90.23
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock03,0,15.37
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock04,0,115.23
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock05,0,8.57
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock06,0,51.03
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock07,0,215.27
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock08,0,170.23
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock09,0,64.97
7,09112023_SEFL1D_trauma_G2,4,trauma,shock,shock10,0,19.9
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock01,0,118.37
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock02,0,147.24
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock03,0,171.35
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock04,8,107.13
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock05,6.33,190.73
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock06,0,173.19
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock07,0,307.47
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock08,11.5,49.25
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock09,0,212.41
7,09112023_SEFL1D_trauma_G2,4,trauma,postshock,postshock10,0,278.49
8,09112023_SEFL1D_trauma_G2,1,trauma,baseline,baseline,0.39,235.72
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock01,0,1928.03
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock02,0,1498.87
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock03,0,1310.17
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock04,0,1487.33
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock05,0,1520.53
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock06,0,1361.13
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock07,0,1340.37
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock08,0,1760.23
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock09,0,1073.17
8,09112023_SEFL1D_trauma_G2,1,trauma,shock,shock10,0,567.97
