Animal,File,Box,phase,subphase,day,component,freezing,motion
1,240207_SEFL1F_trauma_g1,1,trauma,baseline,,baseline,0,144.39
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock01,0,608.4
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock02,0,606.73
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock03,0,1363.57
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock04,0,816.27
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock05,0,644.43
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock06,0,788.73
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock07,0,229.33
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock08,0,399.83
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock09,0,472.87
1,240207_SEFL1F_trauma_g1,1,trauma,shock,,shock10,0,673.83
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock01,10.5,50.73
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock02,27.67,78.08
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock03,60.83,16.3
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock04,50,17.44
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock05,29.83,61.55
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock06,55.67,22.21
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock07,64.33,17.91
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock08,79.33,7.12
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock09,65.33,9.78
1,240207_SEFL1F_trauma_g1,1,trauma,postshock,,postshock10,99.5,0.41
2,240207_SEFL1F_trauma_g1,2,trauma,baseline,,baseline,0,193.59
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock01,0,302.97
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock02,0,329.3
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock03,0,192.63
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock04,0,104.53
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock05,0,99.07
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock06,0,82.63
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock07,0,466.53
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock08,0,97.47
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock09,0,253.87
2,240207_SEFL1F_trauma_g1,2,trauma,shock,,shock10,0,199.13
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock01,0,167.89
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock02,0,191.94
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock03,20.67,87.82
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock04,7.33,123.15
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock05,0,185.58
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock06,0,234.45
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock07,0,161.53
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock08,0,234.14
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock09,13,107.28
2,240207_SEFL1F_trauma_g1,2,trauma,postshock,,postshock10,0,73.87
3,240207_SEFL1F_trauma_g1,3,trauma,baseline,,baseline,1.13,161
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock01,0,761.43
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock02,0,589.5
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock03,0,1695.47
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock04,0,754.93
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock05,0,923.33
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock06,0,1421.2
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock07,0,557.63
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock08,0,1570.7
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock09,0,634
3,240207_SEFL1F_trauma_g1,3,trauma,shock,,shock10,0,1210.6
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock01,6.5,94.27
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock02,6.33,73.99
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock03,29,39.55
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock04,41,38.83
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock05,59.33,34.07
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock06,81,18.35
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock07,69,19.37
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock08,63,14.32
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock09,72.83,17.81
3,240207_SEFL1F_trauma_g1,3,trauma,postshock,,postshock10,77.67,11.93
4,240207_SEFL1F_trauma_g1,4,trauma,baseline,,baseline,1.86,180.18
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock01,0,122.17
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock02,0,115.53
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock03,0,88.17
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock04,0,41.13
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock05,0,48.7
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock06,0,131.97
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock07,0,98.57
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock08,0,57.77
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock09,0,156.53
4,240207_SEFL1F_trauma_g1,4,trauma,shock,,shock10,0,53.17
4,240207_SEFL1F_trauma_g1,4,trauma,postshock,,postshock01,0,178.3
4,240207_SEFL1F_trauma_g1,4,trauma,postshock,,postshock02,0,199.32
4,240207_SEFL1F_trauma_g1,4,trauma,postshock,,postshock03,0,103.23
4,240207_SEFL1F_trauma_g1,4,trauma,postshock,,postshock04,0,108.31
