Animal,Experiment,Box,phase,subphase,subsubphase,component,freezing,motion
4,201215_SEFL20_Atoneshock_g1,1,A_training,bl,,bl,9.74,112.86
4,201215_SEFL20_Atoneshock_g1,1,A_training,cs,,cs_1,52.89,108.9
4,201215_SEFL20_Atoneshock_g1,1,A_training,cs,,cs_2,66,118.56
4,201215_SEFL20_Atoneshock_g1,1,A_training,cs,,cs_3,56.22,138.8
4,201215_SEFL20_Atoneshock_g1,1,A_training,postcs,,postcs_1,19.09,78.75
4,201215_SEFL20_Atoneshock_g1,1,A_training,postcs,,postcs_2,54.84,28.52
4,201215_SEFL20_Atoneshock_g1,1,A_training,postcs,,postcs_3,39.35,54.47
4,201215_SEFL20_Atoneshock_g1,1,A_training,shock,,shock_1,0,867.6
4,201215_SEFL20_Atoneshock_g1,1,A_training,shock,,shock_2,0,1035.33
4,201215_SEFL20_Atoneshock_g1,1,A_training,shock,,shock_3,0,1117.62
5,201215_SEFL20_Atoneshock_g1,2,A_training,bl,,bl,3.28,116.04
5,201215_SEFL20_Atoneshock_g1,2,A_training,cs,,cs_1,39.11,105.2
5,201215_SEFL20_Atoneshock_g1,2,A_training,cs,,cs_2,75.44,66.31
5,201215_SEFL20_Atoneshock_g1,2,A_training,cs,,cs_3,81.22,30.1
5,201215_SEFL20_Atoneshock_g1,2,A_training,postcs,,postcs_1,29.14,81.5
5,201215_SEFL20_Atoneshock_g1,2,A_training,postcs,,postcs_2,48.08,46.86
5,201215_SEFL20_Atoneshock_g1,2,A_training,postcs,,postcs_3,53.1,37.78
5,201215_SEFL20_Atoneshock_g1,2,A_training,shock,,shock_1,0,847
5,201215_SEFL20_Atoneshock_g1,2,A_training,shock,,shock_2,0,702.93
5,201215_SEFL20_Atoneshock_g1,2,A_training,shock,,shock_3,0,373.68
6,201215_SEFL20_Atoneshock_g3,3,A_training,bl,,bl,3.66,171.37
6,201215_SEFL20_Atoneshock_g3,3,A_training,cs,,cs_1,15.56,155.92
6,201215_SEFL20_Atoneshock_g3,3,A_training,cs,,cs_2,74.22,106.11
6,201215_SEFL20_Atoneshock_g3,3,A_training,cs,,cs_3,58.56,114.22
6,201215_SEFL20_Atoneshock_g3,3,A_training,postcs,,postcs_1,1.31,131.51
6,201215_SEFL20_Atoneshock_g3,3,A_training,postcs,,postcs_2,15.23,86.27
6,201215_SEFL20_Atoneshock_g3,3,A_training,postcs,,postcs_3,19.49,94.93
6,201215_SEFL20_Atoneshock_g3,3,A_training,shock,,shock_1,0,890.05
6,201215_SEFL20_Atoneshock_g3,3,A_training,shock,,shock_2,0,878.27
6,201215_SEFL20_Atoneshock_g3,3,A_training,shock,,shock_3,0,764.07
8,201215_SEFL20_Atoneshock_g3,4,A_training,bl,,bl,0,185.84
8,201215_SEFL20_Atoneshock_g3,4,A_training,cs,,cs_1,3.56,200.62
8,201215_SEFL20_Atoneshock_g3,4,A_training,cs,,cs_2,57,95.1
8,201215_SEFL20_Atoneshock_g3,4,A_training,cs,,cs_3,68.33,78.23
8,201215_SEFL20_Atoneshock_g3,4,A_training,postcs,,postcs_1,19.37,162.34
8,201215_SEFL20_Atoneshock_g3,4,A_training,postcs,,postcs_2,41.79,47.86
8,201215_SEFL20_Atoneshock_g3,4,A_training,postcs,,postcs_3,57.18,35.33
8,201215_SEFL20_Atoneshock_g3,4,A_training,shock,,shock_1,0,891.55
8,201215_SEFL20_Atoneshock_g3,4,A_training,shock,,shock_2,0,733.65
8,201215_SEFL20_Atoneshock_g3,4,A_training,shock,,shock_3,0,976.72
14,201215_SEFL20_Atoneshock_g4,1,A_training,bl,,bl,6.03,147.84
14,201215_SEFL20_Atoneshock_g4,1,A_training,cs,,cs_1,26.67,93.7
14,201215_SEFL20_Atoneshock_g4,1,A_training,cs,,cs_2,38.11,121.22
14,201215_SEFL20_Atoneshock_g4,1,A_training,cs,,cs_3,60.78,74.61
14,201215_SEFL20_Atoneshock_g4,1,A_training,postcs,,postcs_1,7.53,128.33
14,201215_SEFL20_Atoneshock_g4,1,A_training,postcs,,postcs_2,27.98,83.81
14,201215_SEFL20_Atoneshock_g4,1,A_training,postcs,,postcs_3,32.67,113.92
14,201215_SEFL20_Atoneshock_g4,1,A_training,shock,,shock_1,0,957.73
14,201215_SEFL20_Atoneshock_g4,1,A_training,shock,,shock_2,0,748.03
14,201215_SEFL20_Atoneshock_g4,1,A_training,shock,,shock_3,0,717.6
15,201215_SEFL20_Atoneshock_g4,2,A_training,bl,,bl,2.6,170.67
15,201215_SEFL20_Atoneshock_g4,2,A_training,cs,,cs_1,10.78,122.91
15,201215_SEFL20_Atoneshock_g4,2,A_training,cs,,cs_2,20.89,103.71
15,201215_SEFL20_Atoneshock_g4,2,A_training,cs,,cs_3,45.33,67.05
15,201215_SEFL20_Atoneshock_g4,2,A_training,postcs,,postcs_1,2.99,154.66
15,201215_SEFL20_Atoneshock_g4,2,A_training,postcs,,postcs_2,14.08,107.14
15,201215_SEFL20_Atoneshock_g4,2,A_training,postcs,,postcs_3,6.31,126.45
15,201215_SEFL20_Atoneshock_g4,2,A_training,shock,,shock_1,0,556.85
15,201215_SEFL20_Atoneshock_g4,2,A_training,shock,,shock_2,0,393.67
15,201215_SEFL20_Atoneshock_g4,2,A_training,shock,,shock_3,0,227.4
18,201215_SEFL20_Atoneshock_g4,3,A_training,bl,,bl,0.4,192.46
18,201215_SEFL20_Atoneshock_g4,3,A_training,cs,,cs_1,0,357.9
18,201215_SEFL20_Atoneshock_g4,3,A_training,cs,,cs_2,27.67,77.39
18,201215_SEFL20_Atoneshock_g4,3,A_training,cs,,cs_3,50.67,94.19
18,201215_SEFL20_Atoneshock_g4,3,A_training,postcs,,postcs_1,1.73,171.53
18,201215_SEFL20_Atoneshock_g4,3,A_training,postcs,,postcs_2,7.31,122.72
18,201215_SEFL20_Atoneshock_g4,3,A_training,postcs,,postcs_3,13.55,100.35
18,201215_SEFL20_Atoneshock_g4,3,A_training,shock,,shock_1,0,1316.17
18,201215_SEFL20_Atoneshock_g4,3,A_training,shock,,shock_2,0,740.73
18,201215_SEFL20_Atoneshock_g4,3,A_training,shock,,shock_3,0,981.75
19,201215_SEFL20_Atoneshock_g4,4,A_training,bl,,bl,5.67,175.1
19,201215_SEFL20_Atoneshock_g4,4,A_training,cs,,cs_1,12.89,251.48
19,201215_SEFL20_Atoneshock_g4,4,A_training,cs,,cs_2,51.67,168.95
19,201215_SEFL20_Atoneshock_g4,4,A_training,cs,,cs_3,41.89,197.89
19,201215_SEFL20_Atoneshock_g4,4,A_training,postcs,,postcs_1,6.8,182.12
19,201215_SEFL20_Atoneshock_g4,4,A_training,postcs,,postcs_2,12.4,164.21
19,201215_SEFL20_Atoneshock_g4,4,A_training,postcs,,postcs_3,29.76,93.59
19,201215_SEFL20_Atoneshock_g4,4,A_training,shock,,shock_1,0,1976.65
19,201215_SEFL20_Atoneshock_g4,4,A_training,shock,,shock_2,0,1048.28
19,201215_SEFL20_Atoneshock_g4,4,A_training,shock,,shock_3,0,1591.62
20,201215_SEFL20_Atoneshock_g5,1,A_training,bl,,bl,1.04,189.54
20,201215_SEFL20_Atoneshock_g5,1,A_training,cs,,cs_1,0,206.03
20,201215_SEFL20_Atoneshock_g5,1,A_training,cs,,cs_2,67.56,94.88
20,201215_SEFL20_Atoneshock_g5,1,A_training,cs,,cs_3,64.22,101
20,201215_SEFL20_Atoneshock_g5,1,A_training,postcs,,postcs_1,11.9,131.01
20,201215_SEFL20_Atoneshock_g5,1,A_training,postcs,,postcs_2,21.29,103.11
20,201215_SEFL20_Atoneshock_g5,1,A_training,postcs,,postcs_3,24,107.81
20,201215_SEFL20_Atoneshock_g5,1,A_training,shock,,shock_1,0,1243.65
20,201215_SEFL20_Atoneshock_g5,1,A_training,shock,,shock_2,0,1175.15
20,201215_SEFL20_Atoneshock_g5,1,A_training,shock,,shock_3,0,1091.67
23,201215_SEFL20_Atoneshock_g1,3,A_training,bl,,bl,2.69,189.13
23,201215_SEFL20_Atoneshock_g1,3,A_training,cs,,cs_1,8.56,161.07
23,201215_SEFL20_Atoneshock_g1,3,A_training,cs,,cs_2,61.22,74.35
23,201215_SEFL20_Atoneshock_g1,3,A_training,cs,,cs_3,67.56,72.08
23,201215_SEFL20_Atoneshock_g1,3,A_training,postcs,,postcs_1,6.13,163.95
23,201215_SEFL20_Atoneshock_g1,3,A_training,postcs,,postcs_2,50.44,67.64
23,201215_SEFL20_Atoneshock_g1,3,A_training,postcs,,postcs_3,67.99,23.09
23,201215_SEFL20_Atoneshock_g1,3,A_training,shock,,shock_1,0,992.17
23,201215_SEFL20_Atoneshock_g1,3,A_training,shock,,shock_2,0,799.4
23,201215_SEFL20_Atoneshock_g1,3,A_training,shock,,shock_3,0,494.68
24,201215_SEFL20_Atoneshock_g1,4,A_training,bl,,bl,5.36,115.97
24,201215_SEFL20_Atoneshock_g1,4,A_training,cs,,cs_1,25.56,168.8
24,201215_SEFL20_Atoneshock_g1,4,A_training,cs,,cs_2,78.11,89.39
24,201215_SEFL20_Atoneshock_g1,4,A_training,cs,,cs_3,70,127.74
24,201215_SEFL20_Atoneshock_g1,4,A_training,postcs,,postcs_1,22.39,66.5
24,201215_SEFL20_Atoneshock_g1,4,A_training,postcs,,postcs_2,40.33,48.26
24,201215_SEFL20_Atoneshock_g1,4,A_training,postcs,,postcs_3,55.77,40.1
24,201215_SEFL20_Atoneshock_g1,4,A_training,shock,,shock_1,0,1300.53
24,201215_SEFL20_Atoneshock_g1,4,A_training,shock,,shock_2,0,1213.13
24,201215_SEFL20_Atoneshock_g1,4,A_training,shock,,shock_3,0,1110.47
25,201215_SEFL20_Atoneshock_g2,1,A_training,bl,,bl,15.2,134.74
25,201215_SEFL20_Atoneshock_g2,1,A_training,cs,,cs_1,30,108.69
25,201215_SEFL20_Atoneshock_g2,1,A_training,cs,,cs_2,62.11,107.55
25,201215_SEFL20_Atoneshock_g2,1,A_training,cs,,cs_3,50.33,175.41
25,201215_SEFL20_Atoneshock_g2,1,A_training,postcs,,postcs_1,27.2,105.79
25,201215_SEFL20_Atoneshock_g2,1,A_training,postcs,,postcs_2,42.46,77.08
25,201215_SEFL20_Atoneshock_g2,1,A_training,postcs,,postcs_3,49.96,61.9
25,201215_SEFL20_Atoneshock_g2,1,A_training,shock,,shock_1,0,1224.72
25,201215_SEFL20_Atoneshock_g2,1,A_training,shock,,shock_2,0,1083.65
25,201215_SEFL20_Atoneshock_g2,1,A_training,shock,,shock_3,0,1171.25
29,201215_SEFL20_Atoneshock_g2,2,A_training,bl,,bl,7.79,149.57
29,201215_SEFL20_Atoneshock_g2,2,A_training,cs,,cs_1,23.33,163.75
29,201215_SEFL20_Atoneshock_g2,2,A_training,cs,,cs_2,66.67,52.67
29,201215_SEFL20_Atoneshock_g2,2,A_training,cs,,cs_3,77.44,60.73
29,201215_SEFL20_Atoneshock_g2,2,A_training,postcs,,postcs_1,6.87,169.21
29,201215_SEFL20_Atoneshock_g2,2,A_training,postcs,,postcs_2,40.99,69.72
29,201215_SEFL20_Atoneshock_g2,2,A_training,postcs,,postcs_3,40.32,84.91
29,201215_SEFL20_Atoneshock_g2,2,A_training,shock,,shock_1,0,791.63
29,201215_SEFL20_Atoneshock_g2,2,A_training,shock,,shock_2,0,602.65
29,201215_SEFL20_Atoneshock_g2,2,A_training,shock,,shock_3,0,794.8
30,201215_SEFL20_Atoneshock_g2,3,A_training,bl,,bl,12.3,137.68
30,201215_SEFL20_Atoneshock_g2,3,A_training,cs,,cs_1,36.78,82.17
30,201215_SEFL20_Atoneshock_g2,3,A_training,cs,,cs_2,67.44,94.46
30,201215_SEFL20_Atoneshock_g2,3,A_training,cs,,cs_3,41.78,121.75
30,201215_SEFL20_Atoneshock_g2,3,A_training,postcs,,postcs_1,25.57,112.39
30,201215_SEFL20_Atoneshock_g2,3,A_training,postcs,,postcs_2,43.91,56.14
30,201215_SEFL20_Atoneshock_g2,3,A_training,postcs,,postcs_3,37.36,66.64
30,201215_SEFL20_Atoneshock_g2,3,A_training,shock,,shock_1,0,691.87
30,201215_SEFL20_Atoneshock_g2,3,A_training,shock,,shock_2,0,751
30,201215_SEFL20_Atoneshock_g2,3,A_training,shock,,shock_3,0,1014.98
32,201215_SEFL20_Atoneshock_g2,4,A_training,bl,,bl,2.19,252.81
32,201215_SEFL20_Atoneshock_g2,4,A_training,cs,,cs_1,3.78,234.14
32,201215_SEFL20_Atoneshock_g2,4,A_training,cs,,cs_2,31.44,78.52
32,201215_SEFL20_Atoneshock_g2,4,A_training,cs,,cs_3,49.11,135.51
32,201215_SEFL20_Atoneshock_g2,4,A_training,postcs,,postcs_1,11.63,165.45
32,201215_SEFL20_Atoneshock_g2,4,A_training,postcs,,postcs_2,30.03,63.54
32,201215_SEFL20_Atoneshock_g2,4,A_training,postcs,,postcs_3,22.51,52.41
32,201215_SEFL20_Atoneshock_g2,4,A_training,shock,,shock_1,0,974.62
32,201215_SEFL20_Atoneshock_g2,4,A_training,shock,,shock_2,0,625.52
