Animal,phase,subphase ,box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),left,ctr,right,Distance_px,Distance_in
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",1,"(0, 1800)",0.655746807,0.258745142,0.087729039,4102.436604,191.230256
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",2,"(1800, 3600)",0.483064964,0.309827873,0.207107163,3250.015385,151.4956437
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",3,"(3600, 5400)",0.637423654,0.229872293,0.140477512,2305.848248,107.4844033
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",4,"(5400, 7200)",0.553581344,0.245974459,0.202665186,2724.79233,127.0129889
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",5,"(7200, 9000)",0.76957246,0.102720711,0.132704053,1866.811443,87.01921917
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",6,"(9000, 10800)",0.517490283,0.482509717,0,1888.142675,88.01354948
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",7,"(10800, 12600)",0.704053304,0.170460855,0.1238201,2193.211295,102.2339643
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",8,"(12600, 14400)",0.506385341,0.23042754,0.262076624,2599.778877,121.1856338
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",9,"(14400, 16200)",0.406996113,0.458634092,0.129927818,2485.863637,115.8756089
1,Extinction Test,ET_1,1,2020-10-01_12-37-14.mkv,99,TRUE,0.9,100,6300,"{'xs': [[4.338062131389251, 1.463666243446919, 197.07992197739188, 196.32350200688072, 211.88154796035386, 208.83166263925293, 190.73809694462648, 195.74862282929226], [195.74862282929226, 190.73809694462648, 213.00104951671034, 211.88154796035386, 196.32350200688072, 197.07992197739188, 392.53581667758846, 390.3240446838139, 369.4105453391219, 371.79780676605503, 392.37848132372216, 394.5751249180865], [394.5751249180865, 392.37848132372216, 371.79780676605503, 369.4105453391219, 390.3240446838139, 392.53581667758846, 589.2503942087155, 590.2639969692004]], 'ys': [[3.4232336956521836, 194.24298007246378, 203.00486865942028, 130.67470561594203, 136.54370471014494, 108.99784873188406, 76.79959239130436, 7.790307971014502], [7.790307971014502, 76.79959239130436, 112.00169836956522, 136.54370471014494, 130.67470561594203, 203.00486865942028, 207.48290307971016, 135.04177989130434, 146.91451539855072, 118.98426177536233, 85.15726902173914, 12.882586050724647], [12.882586050724647, 85.15726902173914, 118.98426177536233, 146.91451539855072, 135.04177989130434, 207.48290307971016, 209.0601222826087, 12.989583333333343]]}",10,"(16200, 18000)",0.472222222,0.062222222,0.461111111,959.0635093,44.70561719
