Animal,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,bin,range(f),light,dark,Distance_px,Distance_in
1,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",0,"(0, 1800)",0.322043309,0.680177679,1623.617538,114.1453368
1,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",1,"(1800, 3600)",0,1,1226.674895,86.23904074
1,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",2,"(3600, 5400)",0.224319822,0.775680178,1220.192867,85.78333407
1,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",3,"(5400, 7200)",0.27817879,0.72182121,1156.570498,81.3104847
1,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[3.666003184713378, 134.74880573248407, 132.0736464968153, 2.774283439490448], [2.774283439490448, 132.0736464968153, 133.85708598726114, 2.774283439490448]], 'ys': [[2.235183189655145, 5.317079741379283, 144.0024245689655, 143.38604525862067], [143.38604525862067, 144.0024245689655, 283.3041487068965, 283.3041487068965]]}",4,"(7200, 9000)",0.368391764,0.6360601,1397.737855,98.26529609
3,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",0,"(0, 1800)",0.263742365,0.742365353,1659.944585,119.5527128
3,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",1,"(1800, 3600)",0,1,794.8108329,57.24395386
3,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",2,"(3600, 5400)",0.267629095,0.732370905,1207.932695,86.9978624
3,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",3,"(5400, 7200)",0,1,918.1387216,66.12628872
3,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[0.9516279940119733, 141.6103106287425, 139.8737836826347, 4.424681886227542], [4.424681886227542, 139.8737836826347, 140.7420471556886, 0.0833645209580812]], 'ys': [[0.38461538461538464, 1.6153846153846154, 144.3846153846154, 142.53846153846155], [142.53846153846155, 144.3846153846154, 286.53846153846155, 284.6923076923077]]}",4,"(7200, 9000)",0.357262104,0.64329438,1385.032326,99.75295162
4,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",0,"(0, 1800)",0,1,1023.677511,76.03212409
4,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",1,"(1800, 3600)",0,1,692.3924617,51.42641996
4,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",2,"(3600, 5400)",0,1,521.5200549,38.73512617
4,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",3,"(5400, 7200)",0,1,392.4849807,29.15123801
4,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[1.831818181818184, 140.59545454545457, 136.2318181818182, 2.704545454545457], [2.704545454545457, 136.2318181818182, 138.85000000000002, 1.831818181818184]], 'ys': [[1.0086729074889655, 1.6276156387664986, 139.65184471365637, 139.03290198237883], [139.03290198237883, 139.65184471365637, 279.53290198237886, 279.53290198237886]]}",4,"(7200, 9000)",0,1,760.8972419,56.51451058
5,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",0,"(0, 1800)",0,1,1022.68171,74.4113514
5,ms1-5_2021-06-14 11-53-39.mkv,99,TRUE,0.9,50,1950,"{'xs': [[2.704545454545457, 139.7227272727273, 139.7227272727273, 4.450000000000002], [3.5772727272727294, 140.59545454545457, 137.10454545454547, 1.831818181818184]], 'ys': [[1.6276156387664986, 1.0086729074889655, 137.79501651982378, 139.03290198237883], [143.36550110132157, 142.74655837004403, 277.0571310572687, 278.9139592511013]]}",1,"(1800, 3600)",0,1,692.942853,50.41922
