Animal,File,Box,phase,subphase,component,freezing,motion
1,210616_SEFL10E3_mildstressor_g1,1,mildstressor,prepost,bl,0,489.48
1,210616_SEFL10E3_mildstressor_g1,1,mildstressor,prepost,post,0,435.26
1,210616_SEFL10E3_mildstressor_g1,1,mildstressor,startle,startle_post,0,645.59
1,210616_SEFL10E3_mildstressor_g1,1,mildstressor,startle,startle_pre,0,212.79
1,210616_SEFL10E3_mildstressor_g1,1,mildstressor,startle,startle_startle,0,846
3,210616_SEFL10E3_mildstressor_g1,2,mildstressor,prepost,bl,0.74,394.98
3,210616_SEFL10E3_mildstressor_g1,2,mildstressor,prepost,post,0,549.66
3,210616_SEFL10E3_mildstressor_g1,2,mildstressor,startle,startle_post,0,468.43
3,210616_SEFL10E3_mildstressor_g1,2,mildstressor,startle,startle_pre,0,283.31
3,210616_SEFL10E3_mildstressor_g1,2,mildstressor,startle,startle_startle,0,508.19
4,210616_SEFL10E3_mildstressor_g1,3,mildstressor,prepost,bl,0.61,437.19
4,210616_SEFL10E3_mildstressor_g1,3,mildstressor,prepost,post,18.67,179.47
4,210616_SEFL10E3_mildstressor_g1,3,mildstressor,startle,startle_post,62.22,137.06
4,210616_SEFL10E3_mildstressor_g1,3,mildstressor,startle,startle_pre,0,238.77
4,210616_SEFL10E3_mildstressor_g1,3,mildstressor,startle,startle_startle,0,731.1
5,210616_SEFL10E3_mildstressor_g1,4,mildstressor,prepost,bl,0,617.67
5,210616_SEFL10E3_mildstressor_g1,4,mildstressor,prepost,post,0,260.55
5,210616_SEFL10E3_mildstressor_g1,4,mildstressor,startle,startle_post,0,236.98
5,210616_SEFL10E3_mildstressor_g1,4,mildstressor,startle,startle_pre,0,422.33
5,210616_SEFL10E3_mildstressor_g1,4,mildstressor,startle,startle_startle,0,918.28
6,210616_SEFL10E3_mildstressor_g2,1,mildstressor,prepost,bl,0,409.82
6,210616_SEFL10E3_mildstressor_g2,1,mildstressor,prepost,post,12.67,118.51
6,210616_SEFL10E3_mildstressor_g2,1,mildstressor,startle,startle_post,40,113.48
6,210616_SEFL10E3_mildstressor_g2,1,mildstressor,startle,startle_pre,0,729.51
6,210616_SEFL10E3_mildstressor_g2,1,mildstressor,startle,startle_startle,0,1128.06
8,210616_SEFL10E3_mildstressor_g2,2,mildstressor,prepost,bl,0,448.52
8,210616_SEFL10E3_mildstressor_g2,2,mildstressor,prepost,post,17.33,127.64
8,210616_SEFL10E3_mildstressor_g2,2,mildstressor,startle,startle_post,57.78,118.01
8,210616_SEFL10E3_mildstressor_g2,2,mildstressor,startle,startle_pre,0,273.4
8,210616_SEFL10E3_mildstressor_g2,2,mildstressor,startle,startle_startle,0,648.33
9,210616_SEFL10E3_mildstressor_g2,3,mildstressor,prepost,bl,1.35,410.16
9,210616_SEFL10E3_mildstressor_g2,3,mildstressor,prepost,post,46,180.73
9,210616_SEFL10E3_mildstressor_g2,3,mildstressor,startle,startle_post,0,268.77
9,210616_SEFL10E3_mildstressor_g2,3,mildstressor,startle,startle_pre,0,452.14
9,210616_SEFL10E3_mildstressor_g2,3,mildstressor,startle,startle_startle,0,578.89
10,210616_SEFL10E3_mildstressor_g2,4,mildstressor,prepost,bl,0,560.3
10,210616_SEFL10E3_mildstressor_g2,4,mildstressor,prepost,post,0,427.33
10,210616_SEFL10E3_mildstressor_g2,4,mildstressor,startle,startle_post,0,476.81
