Animal,Exclude,DOB,Surgery,Notes,Squad,trauma,drug,Group,Targeting
1,0,4/6/21,8/6/21,,1,NT,Veh,NT - Veh,
2,0,4/6/21,8/6/21,,1,T,ANI,T - ANI,
3,0,4/6/21,8/6/21,,1,T,Veh,T - Veh,
4,1,4/6/21,8/6/21,,1,NT,Veh,NT - Veh,Unilateral targeting
5,0,4/6/21,8/6/21,,1,T,ANI,T - ANI,
6,0,4/6/21,8/7/21,,1,T,Veh,T - Veh,
7,0,4/6/21,8/7/21,,1,NT,Veh,NT - Veh,
8,1,4/6/21,8/7/21,,1,T,ANI,T - ANI,Unilateral targeting
9,0,4/6/21,8/7/21,,1,T,Veh,T - Veh,
10,0,4/6/21,8/7/21,,1,T,ANI,T - ANI,
11,0,4/6/21,8/9/21,,1,T,ANI,T - ANI,
12,0,4/6/21,8/9/21,,1,NT,Veh,NT - Veh,
13,0,4/6/21,8/9/21,,1,T,Veh,T - Veh,
14,0,4/6/21,8/9/21,,1,T,Veh,T - Veh,
15,0,4/6/21,8/9/21,,1,T,ANI,T - ANI,
16,0,4/6/21,8/9/21,,1,T,ANI,T - ANI,
17,0,4/6/21,8/9/21,,1,T,Veh,T - Veh,
18,0,4/6/21,8/9/21,,1,NT,Veh,NT - Veh,
19,0,4/6/21,8/10/21,,2,T,ANI,T - ANI,
20,0,4/6/21,8/10/21,,2,NT,Veh,NT - Veh,
21,0,4/6/21,8/10/21,,2,T,Veh,T - Veh,
22,1,4/6/21,8/10/21,Tore off head cap,2,T,Veh,T - Veh,
23,0,4/6/21,8/10/21,,2,T,Veh,T - Veh,
24,0,4/6/21,8/10/21,,2,T,ANI,T - ANI,
25,0,4/6/21,8/11/21,,2,NT,Veh,NT - Veh,
26,0,4/6/21,8/11/21,,2,T,ANI,T - ANI,
27,0,4/6/21,8/11/21,,2,T,Veh,T - Veh,
28,0,4/6/21,8/11/21,,2,T,Veh,T - Veh,
29,0,4/6/21,8/11/21,,2,T,ANI,T - ANI,
30,0,4/6/21,8/11/21,,2,NT,Veh,NT - Veh,
31,0,4/6/21,8/11/21,,2,T,ANI,T - ANI,
32,0,4/6/21,8/12/21,,2,T,Veh,T - Veh,
33,0,4/6/21,8/12/21,,2,T,Veh,T - Veh,
34,0,4/6/21,8/12/21,,2,T,ANI,T - ANI,
35,0,4/6/21,8/12/21,,2,NT,Veh,NT - Veh,
36,0,4/6/21,8/12/21,,2,T,Veh,T - Veh,Questionably anterior on one side
37,0,9/12/21,12/27/21,,3,T,Veh,T - Veh,
38,0,9/12/21,12/27/21,,3,NT,Veh,NT - Veh,
39,0,9/12/21,12/27/21,,3,NT,Veh,NT - Veh,
40,0,9/12/21,12/27/21,,3,T,ANI,T - ANI,
41,0,9/12/21,12/27/21,,3,T,ANI,T - ANI,
42,0,9/12/21,12/27/21,,3,T,Veh,T - Veh,
43,0,9/12/21,12/27/21,,3,T,ANI,T - ANI,
44,0,9/12/21,12/27/21,,3,T,Veh,T - Veh,
45,0,9/12/21,12/28/21,,3,T,Veh,T - Veh,
46,0,9/12/21,12/28/21,,3,T,ANI,T - ANI,
47,0,9/12/21,12/28/21,,3,T,ANI,T - ANI,
48,0,9/12/21,12/28/21,,3,T,Veh,T - Veh,
49,0,9/12/21,12/28/21,,3,T,Veh,T - Veh,
50,0,9/12/21,12/28/21,,3,T,ANI,T - ANI,
51,0,9/12/21,12/28/21,,3,T,Veh,T - Veh,
52,0,9/12/21,12/29/21,,3,T,ANI,T - ANI,
53,0,9/12/21,12/29/21,,3,NT,Veh,NT - Veh,
54,0,9/12/21,12/29/21,,3,T,ANI,T - ANI,
55,0,9/12/21,12/29/21,,3,T,Veh,T - Veh,
56,0,9/12/21,12/29/21,,3,NT,Veh,NT - Veh,
