Animal,testnum,Box,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,ROI_coordinates,ROI_location,ROI_transition,bin,range(f),light,dark,Distance_px,Distance_in
1,1,1,LD1_01_02_03_04_2022-12-02 12-19-41.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",dark,FALSE,0,"(0, 1800)",0.68573015,0.315935591,1972.974008,195.6090502
5,1,1,LD1_05_06_07_08_2022-12-02 12-38-34.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",light,FALSE,0,"(0, 1800)",0.72570794,0.27429206,1289.823758,127.8786235
9,1,1,LD1_09_10_2022-12-02 12-58-03.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",light,FALSE,0,"(0, 1800)",0.538034425,0.465852304,1712.312748,169.7659821
11,1,1,LD1_11_12_13_14_2022-12-02 13-16-43.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",dark,FALSE,0,"(0, 1800)",0.691282621,0.312048862,1887.075907,187.0927464
15,1,1,LD1_15_16_17_18_2022-12-02 13-56-02.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.1035970052083353, 103.53068033854167, 102.41609700520834, 1.5463053385416685], [1.5463053385416685, 102.41609700520834, 104.645263671875, 2.1035970052083353]], 'ys': [[0.4198895027624259, 2.011049723756901, 107.42541436464089, 107.42541436464089], [107.42541436464089, 107.42541436464089, 214.0331491712707, 214.82872928176795]]}",light,FALSE,0,"(0, 1800)",0.231538034,0.769017213,1601.66641,158.7960328
2,1,2,LD1_01_02_03_04_2022-12-02 12-19-41.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.6040111940298503, 106.58411069651741, 106.58411069651741, 1.5094838308457708], [1.5094838308457708, 106.58411069651741, 107.67863805970148, 2.0567475124378105]], 'ys': [[2.40883977900552, 2.011049723756901, 107.42541436464089, 107.8232044198895], [107.8232044198895, 107.42541436464089, 214.0331491712707, 214.0331491712707]]}",light,FALSE,0,"(0, 1800)",0.511382565,0.495835647,1881.878456,186.5473944
6,1,2,LD1_05_06_07_08_2022-12-02 12-38-34.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.6040111940298503, 106.58411069651741, 106.58411069651741, 1.5094838308457708], [1.5094838308457708, 106.58411069651741, 107.67863805970148, 2.0567475124378105]], 'ys': [[2.40883977900552, 2.011049723756901, 107.42541436464089, 107.8232044198895], [107.8232044198895, 107.42541436464089, 214.0331491712707, 214.0331491712707]]}",dark,FALSE,0,"(0, 1800)",0.559689062,0.44752915,2051.85813,203.397189
10,1,2,LD1_09_10_2022-12-02 12-58-03.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.6040111940298503, 106.58411069651741, 106.58411069651741, 1.5094838308457708], [1.5094838308457708, 106.58411069651741, 107.67863805970148, 2.0567475124378105]], 'ys': [[2.40883977900552, 2.011049723756901, 107.42541436464089, 107.8232044198895], [107.8232044198895, 107.42541436464089, 214.0331491712707, 214.0331491712707]]}",light,FALSE,0,"(0, 1800)",0.473625763,0.531926707,1974.671878,195.7458478
12,1,2,LD1_11_12_13_14_2022-12-02 13-16-43.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.6040111940298503, 106.58411069651741, 106.58411069651741, 1.5094838308457708], [1.5094838308457708, 106.58411069651741, 107.67863805970148, 2.0567475124378105]], 'ys': [[2.40883977900552, 2.011049723756901, 107.42541436464089, 107.8232044198895], [107.8232044198895, 107.42541436464089, 214.0331491712707, 214.0331491712707]]}",dark,FALSE,0,"(0, 1800)",0.294280955,0.715158245,1706.220277,169.1346994
16,1,2,LD1_15_16_17_18_2022-12-02 13-56-02.mkv,99,TRUE,0.9,50,1800,"{'xs': [[2.6040111940298503, 106.58411069651741, 106.58411069651741, 1.5094838308457708], [1.5094838308457708, 106.58411069651741, 107.67863805970148, 2.0567475124378105]], 'ys': [[2.40883977900552, 2.011049723756901, 107.42541436464089, 107.8232044198895], [107.8232044198895, 107.42541436464089, 214.0331491712707, 214.0331491712707]]}",light,FALSE,0,"(0, 1800)",0.436979456,0.566907274,2370.61959,234.9954676
